model_size_label,identity_frame,n,seed_count,self_profile_accuracy_mean_mean,self_profile_accuracy_mean_ci95_low,self_profile_accuracy_mean_ci95_high,matched_decoy_accuracy_mean_mean,matched_decoy_accuracy_mean_ci95_low,matched_decoy_accuracy_mean_ci95_high,scrambled_profile_accuracy_mean_mean,scrambled_profile_accuracy_mean_ci95_low,scrambled_profile_accuracy_mean_ci95_high,self_profile_valid_choice_rate_mean,self_profile_valid_choice_rate_ci95_low,self_profile_valid_choice_rate_ci95_high,matched_decoy_valid_choice_rate_mean,matched_decoy_valid_choice_rate_ci95_low,matched_decoy_valid_choice_rate_ci95_high,scrambled_profile_valid_choice_rate_mean,scrambled_profile_valid_choice_rate_ci95_low,scrambled_profile_valid_choice_rate_ci95_high,self_minus_decoy_accuracy_mean,self_minus_decoy_accuracy_ci95_low,self_minus_decoy_accuracy_ci95_high,self_minus_scrambled_accuracy_mean,self_minus_scrambled_accuracy_ci95_low,self_minus_scrambled_accuracy_ci95_high,triadic_valid_choice_mean,triadic_valid_choice_ci95_low,triadic_valid_choice_ci95_high,triadic_choose_self_mean,triadic_choose_self_ci95_low,triadic_choose_self_ci95_high,triadic_nearest_accuracy_mean,triadic_nearest_accuracy_ci95_low,triadic_nearest_accuracy_ci95_high,self_margin_vs_decoy_mean,self_margin_vs_decoy_ci95_low,self_margin_vs_decoy_ci95_high,self_margin_vs_scrambled_mean,self_margin_vs_scrambled_ci95_low,self_margin_vs_scrambled_ci95_high,profile_decoy_distance_mean,profile_decoy_distance_ci95_low,profile_decoy_distance_ci95_high
1b,baseline_helpful,40,5,0.54375,0.4625,0.6189062499999992,0.54375,0.4625,0.6189062499999992,0.54375,0.4625,0.6189062499999992,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.175,0.075,0.3,0.375,0.225,0.525,-0.005903419363492657,-0.03437782990530533,0.023307438050678763,0.7376934762576481,0.634405203852006,0.8387175086183342,0.7323378208669942,0.7102031622548006,0.7544724794791877
1b,family_self,40,5,0.4625,0.3875,0.5375,0.43125,0.35,0.5125,0.46875,0.39375,0.55,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.03125,-0.00625,0.06875,-0.00625,-0.0375,0.01875,1.0,1.0,1.0,0.275,0.15,0.425,0.375,0.225,0.525,-0.018967597212317576,-0.05368655814812942,0.011197167472587996,0.9951369107759133,0.8670976143546267,1.149672905833425,0.6152859737422731,0.5340146799104966,0.7017875450860753
1b,stable_style_policy,40,5,0.53125,0.45,0.6125,0.5125,0.43125,0.5876562499999992,0.50625,0.43125,0.5875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01875,-0.025,0.05625,0.025,0.00625,0.05,1.0,1.0,1.0,0.4,0.25,0.55,0.4,0.25,0.55,0.02869728912853896,-0.03468975884669349,0.09579880259795326,0.776431581934584,0.6777448665428375,0.879070226750858,0.9998514456404886,0.9292122884008178,1.0758647297745392
