model_size_label,identity_frame,axis_name,boundary_match_no_steer_mean,boundary_match_no_steer_ci95_low,boundary_match_no_steer_ci95_high,boundary_match_no_steer_cluster_mean,boundary_match_no_steer_cluster_ci95_low,boundary_match_no_steer_cluster_ci95_high,boundary_match_no_steer_cluster_count,boundary_match_no_steer_cluster_non_tie_count,boundary_match_no_steer_cluster_tie_count,boundary_match_no_steer_cluster_hits_above_chance,boundary_match_no_steer_cluster_sign_p_value_vs_chance,boundary_match_steer_mean,boundary_match_steer_ci95_low,boundary_match_steer_ci95_high,boundary_match_steer_cluster_mean,boundary_match_steer_cluster_ci95_low,boundary_match_steer_cluster_ci95_high,boundary_match_steer_cluster_count,boundary_match_steer_cluster_non_tie_count,boundary_match_steer_cluster_tie_count,boundary_match_steer_cluster_hits_above_chance,boundary_match_steer_cluster_sign_p_value_vs_chance,boundary_transfer_delta,self_prediction_advantage_no_steer_mean,self_prediction_advantage_steer_mean,other_prediction_advantage_mean,self_moved_toward_other_actual_mean,boundary_margin_delta_mean,predicted_boundary_confidence_mean,seed_count,n,valid_n_no_steer,valid_n_steer,p_value_no_steer_vs_chance,p_value_steer_vs_chance,p_value_no_steer_holm,p_value_steer_holm,boundary_match_no_steer_cluster_sign_p_value_vs_chance_holm,boundary_match_steer_cluster_sign_p_value_vs_chance_holm
1b,family_self,collaborative_vs_authoritative,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0036353022627672,0.5164373219013214,1,2,2,2,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0
1b,family_self,expansive_vs_terse,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0.9999999999999999,0.0,0.0,0.0,0.0,0.0,0.0,2,2,0,0,0.9999999999999999,0.0,0.0,0.0,0.0,0.5,-0.0040458270141781,0.6080771684646606,1,2,2,2,0.9999999999999998,0.9999999999999998,1.0,1.0,1.0,1.0
