model_size_label,identity_frame,axis_name,n,accuracy_mean,selected_label_1_rate,selected_label_2_rate,selected_label_3_rate,selected_label_max_rate,selected_label_entropy_norm,self_label_1_accuracy,self_label_2_accuracy,self_label_3_accuracy,self_label_accuracy_spread,selection_confidence_mean,selection_confidence_median,selection_confidence_p10,selection_confidence_p90,low_confidence_rate_lt_0_5
1b,family_self,selfref_vs_impersonal,180,0.3888888888888889,0.6944444444444444,0.16666666666666666,0.1388888888888889,0.6944444444444444,0.7518838915619499,0.75,0.25,0.16666666666666666,0.5833333333333334,0.5971580180856917,0.5523088872432709,0.4512332379817962,0.9065272808074952,0.4444444444444444
1b,family_self,expansive_vs_terse,180,0.5,0.6666666666666666,0.1388888888888889,0.19444444444444445,0.6666666666666666,0.785456282007789,0.75,0.3333333333333333,0.4166666666666667,0.4166666666666667,0.5904347019063102,0.5153935551643372,0.4100277125835418,0.8844450116157532,0.4166666666666667
1b,family_self,cautious_vs_assertive,180,0.3055555555555556,0.6111111111111112,0.25,0.1388888888888889,0.6111111111111112,0.8389760173558942,0.5833333333333334,0.16666666666666666,0.16666666666666666,0.41666666666666674,0.5557698806126913,0.5440667271614075,0.3888091742992401,0.7599535584449768,0.3055555555555556
1b,family_self,collaborative_vs_authoritative,180,0.5,0.5833333333333334,0.16666666666666666,0.25,0.5833333333333334,0.8734790278701755,0.8333333333333334,0.25,0.4166666666666667,0.5833333333333334,0.6404418473442396,0.6236958205699921,0.4463698863983154,0.9125336408615112,0.3055555555555556
