model_size,concept,token_position,layer_bucket,vector_kind,peak_rel_mean,recovery_fraction_mean,total_downstream_change_mean,persistence_mean,next_token_kl_mean,n
1b,confidence,-1,early,mean_diff,0.03197945537976916,0.26012139404250667,11.19918696085612,0.7398786059574932,0.00033037902358041524,48
1b,confidence,-1,early,random_orthogonal,0.031289984161655064,0.24691539096735457,9.309252500534058,0.7530846090326454,0.00012061129624875133,48
1b,confidence,-1,late,mean_diff,0.011611861914085796,0.2786880504186947,3.9483831028143563,0.7213119495813053,0.0003236930612425729,48
1b,confidence,-1,late,random_orthogonal,0.010508109990041653,0.2890241185086884,3.2502943525711694,0.7109758814913115,7.253037119880901e-05,48
1b,confidence,-1,mid,mean_diff,0.024983857137461454,0.30453584215579926,9.075210988521576,0.6954641578442007,0.0005270754766873125,48
1b,confidence,-1,mid,random_orthogonal,0.021553269238211163,0.2708865716330809,7.01352475086848,0.7291134283669191,0.0001348574631568195,48
1b,confidence,0,early,mean_diff,0.027725700289010963,0.2659369327974298,39.94561958312988,0.7340630672025701,9.82197558604033e-06,48
1b,confidence,0,early,random_orthogonal,0.025568209278086767,0.0,21.272148768107098,1.0,2.0294535071722446e-05,48
1b,confidence,0,late,mean_diff,0.02404299595703675,0.0,3.598099708557129,1.0,4.166089648075892e-06,48
1b,confidence,0,late,random_orthogonal,0.0236824819197257,0.0,3.559048573176066,1.0,3.928309685837424e-06,48
1b,confidence,0,mid,mean_diff,0.02289869915693993,0.0,7.365634282430013,1.0,5.706421158417167e-06,48
1b,confidence,0,mid,random_orthogonal,0.02309197063247358,0.0,7.395397345225017,1.0,5.492291279551864e-06,48
1b,empathy,-1,early,mean_diff,0.024573656187082276,0.2474836381595351,9.239706635475159,0.7525163618404648,0.00021884035413672723,48
1b,empathy,-1,early,random_orthogonal,0.03131081474324063,0.2423725241059316,9.314969658851624,0.7576274758940684,0.00012087776644872796,48
1b,empathy,-1,late,mean_diff,0.011213619979874493,0.28024443390552983,3.7691523482402167,0.7197555660944701,0.00021335726129710628,48
1b,empathy,-1,late,random_orthogonal,0.01050911574081202,0.2894275074570868,3.2499464948972068,0.7105724925429132,7.286273080353473e-05,48
1b,empathy,-1,mid,mean_diff,0.023852615073944084,0.2674560206253466,8.625052769978842,0.7325439793746534,0.00041713256268844165,48
