evaluator_revision,source_revision,n,avg_logprob_mean,avg_logprob_ci95_low,avg_logprob_ci95_high,perplexity_mean,perplexity_ci95_low,perplexity_ci95_high,self_preferred_mean,self_preferred_ci95_low,self_preferred_ci95_high,distance_from_diagonal_mean,distance_from_diagonal_ci95_low,distance_from_diagonal_ci95_high,diagonal_margin_logprob_mean,diagonal_margin_logprob_ci95_low,diagonal_margin_logprob_ci95_high
step128000,step128000,18,-1.5019023683336046,-1.7998563858369985,-1.2703942080338797,5.7675109882759905,3.767506223056932,9.083926523076721,0.6111111111111112,0.3888888888888889,0.8333333333333334,0.0,0.0,0.0,0.02482717831929525,-0.13150047838687895,0.1675267697374026
step128000,step143000,16,-1.39031632989645,-1.5905391361564398,-1.22382269538939,4.324148991597308,3.5037048104376245,5.359305885138306,0.1875,0.0,0.3765624999999986,15000.0,15000.0,15000.0,0.046450870377676826,-0.09259450222764697,0.20886358427149906
step128000,step16000,23,-1.7226860886034758,-1.9154334405194158,-1.5667552600736203,6.15113833125556,5.07172937771222,7.56070391630074,0.13043478260869565,0.0,0.30434782608695654,112000.0,112000.0,112000.0,7.039308547973633e-05,-0.4494614601135254,0.3800816747546193
step128000,step64000,21,-1.6265891620091029,-1.824181890487671,-1.4390311228377477,5.755468056158925,4.4593825293601395,7.2394066129202885,0.23809523809523808,0.09523809523809523,0.42857142857142855,64000.0,64000.0,64000.0,0.07447952694363064,-0.04253241353564792,0.20951057341363696
step143000,step128000,18,-1.533703989452786,-1.842020230491956,-1.2956064181195366,6.001534320881452,3.8793497245339017,9.401139946055478,0.16666666666666666,0.0,0.3888888888888889,15000.0,15000.0,15000.0,-0.1381447740963527,-0.36323705166578296,0.043647530462060644
step143000,step143000,16,-1.3605765514075756,-1.5650046996772289,-1.191108341049403,4.224414105367898,3.3789642341883908,5.31242020824967,0.6875,0.4375,0.875,0.0,0.0,0.0,-0.02301342785358429,-0.1878118292738994,0.11483395757774505
step143000,step16000,23,-1.7251550943955132,-1.9177061914101892,-1.5654310523167903,6.193340086916509,5.061872013133542,7.661813666232724,0.17391304347826086,0.043478260869565216,0.34782608695652173,127000.0,127000.0,127000.0,0.060817551612854,-0.1818225860595703,0.24913427829742432
step143000,step64000,21,-1.6269105729602633,-1.8337585643643426,-1.4328801763909202,5.816806745292039,4.4526170264503255,7.398302519845483,0.14285714285714285,0.0,0.2857142857142857,79000.0,79000.0,79000.0,-0.1020573616027832,-0.4016997814178467,0.0914231300354004
step16000,step128000,18,-1.7054847081502278,-2.0446743079357677,-1.4434556659724977,7.709991917547892,4.57631620889482,12.888865797591682,0.1111111111111111,0.0,0.2777777777777778,112000.0,112000.0,112000.0,0.17609362602233886,-0.29642820358276367,0.8180735111236572
step16000,step143000,16,-1.515648778527975,-1.7140568579547106,-1.335490155685693,4.942768350974298,3.9465149382361435,6.122536194908417,0.125,0.0,0.3125,127000.0,127000.0,127000.0,-0.11928813457489014,-0.30416116714477537,0.05148987770080567
step16000,step16000,23,-1.6168959555418596,-1.8115131829095923,-1.4555823094171025,5.573613820551183,4.539760193136184,6.917866612771426,0.8260869565217391,0.6521739130434783,0.9565217391304348,0.0,0.0,0.0,0.12842375702328152,-0.1574905468357934,0.5244127005338669
step16000,step64000,21,-1.7508423271633329,-1.970187066992124,-1.542003149078006,6.803926383392818,4.970539977621001,8.956138426367787,0.14285714285714285,0.0,0.2857142857142857,48000.0,48000.0,48000.0,0.04624152183532715,-0.08546209335327148,0.1526724338531494
step64000,step128000,18,-1.6045779652065701,-1.9268754329946305,-1.3527164219154253,6.759106545600528,4.1166835252225376,11.13012500527041,0.2777777777777778,0.05555555555555555,0.5,64000.0,64000.0,64000.0,0.030944122208489314,-0.12120135558976068,0.17452256679534905
step64000,step143000,16,-1.443284071981907,-1.653138852119446,-1.263537099584937,4.632288034307883,3.648990607186349,5.894639919231604,0.25,0.0625,0.4375,79000.0,79000.0,79000.0,0.10334867238998413,0.022130274772644044,0.16285353899002075
step64000,step16000,23,-1.7093701569930366,-1.9175813702137574,-1.5463295668363572,6.15561259357026,4.992665148073868,7.667776388811464,0.08695652173913043,0.0,0.21739130434782608,48000.0,48000.0,48000.0,-0.039981508255004884,-0.20665736198425294,0.10344977378845215
step64000,step64000,21,-1.591115239120665,-1.7995178454688616,-1.4018785703749883,5.588284541915081,4.29883132118335,7.1344476253754046,0.7142857142857143,0.5238095238095238,0.9047619047619048,0.0,0.0,0.0,0.034812830961667575,-0.07588678048207209,0.13682936017329866
