evaluator_revision,step16000,step64000,step128000,step143000
step16000,-1.6168959555418596,-1.7508423271633329,-1.7054847081502278,-1.515648778527975
step64000,-1.7093701569930366,-1.591115239120665,-1.6045779652065701,-1.443284071981907
step128000,-1.7226860886034758,-1.6265891620091029,-1.5019023683336046,-1.39031632989645
step143000,-1.7251550943955132,-1.6269105729602633,-1.533703989452786,-1.3605765514075756
