source_revision,n,avg_logprob_mean,avg_logprob_ci95_low,avg_logprob_ci95_high,perplexity_mean,perplexity_ci95_low,perplexity_ci95_high,self_preferred_mean,self_preferred_ci95_low,self_preferred_ci95_high,distance_from_diagonal_mean,distance_from_diagonal_ci95_low,distance_from_diagonal_ci95_high,diagonal_margin_logprob_mean,diagonal_margin_logprob_ci95_low,diagonal_margin_logprob_ci95_high
step128000,72,-1.5864172577857971,-1.7260037517589,-1.446196954179969,6.559535943076465,4.9304470755976215,8.51103028805676,0.2916666666666667,0.19409722222222225,0.4027777777777778,47750.0,37527.77777777778,58450.34722222222,0.015676652391751606,-0.09902851320803165,0.13944226379195848
step143000,64,-1.427456432953477,-1.5183888369239866,-1.335637475992553,4.530904870561847,4.027135708706871,5.027472824695719,0.3125,0.203125,0.421875,55250.0,42973.828125,67954.296875,-0.0010587018111656453,-0.09268825110690347,0.0856682005627402
step16000,92,-1.6935268238834713,-1.7784294438102972,-1.6045454013606777,6.018426208073379,5.401975242828241,6.634310462199151,0.30434782608695654,0.21739130434782608,0.41304347826086957,71750.0,61896.739130434784,82434.78260869565,0.05251441647609075,-0.09929072055965663,0.21577758217851314
step64000,84,-1.648864325313341,-1.7542288883101371,-1.5411728847594488,5.991121431689715,5.185416813068842,6.839449791003751,0.30952380952380953,0.21398809523809526,0.40476190476190477,47750.0,41351.48809523809,53809.82142857143,0.02636885456740856,-0.049447336094453925,0.10311937215737998
