model_size_label,identity_frame,axis_name,self_recognition_accuracy_mean,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,baseline_vs_contrary_style_distance_mean,baseline_vs_alt_style_distance_mean,seed_count,n
1b,baseline_helpful,cautious_vs_assertive,0.36666666666666664,0.001862090898911549,0.004853952404960166,0.2126382675522929,1.6963907661851083,5,30
1b,baseline_helpful,collaborative_vs_authoritative,0.3333333333333333,0.021835049260476025,0.020906796944808393,1.314370555841417,1.2738751473573582,5,30
1b,baseline_helpful,expansive_vs_terse,0.26666666666666666,0.019405626308315424,0.010308407247236745,0.9543325659552185,1.4389334408911936,5,30
1b,baseline_helpful,selfref_vs_impersonal,0.3,0.007114114392233256,0.0014132975429432557,1.5258721663375638,1.309595542577182,5,30
1b,family_self,cautious_vs_assertive,0.26666666666666666,0.009175699421836754,0.010552442929901375,0.9749367743283079,1.7656840155181182,5,30
1b,family_self,collaborative_vs_authoritative,0.6333333333333333,0.00826103793685014,0.02906933294291724,1.5927232163520328,1.5589847690155842,5,30
1b,family_self,expansive_vs_terse,0.6666666666666666,0.009104361796128179,0.031302554057694144,1.061139838974447,1.5167189855021483,5,30
1b,family_self,selfref_vs_impersonal,0.5666666666666667,0.0029578437088448235,0.003988219061211642,0.7457103454210716,1.542957539899943,5,30
1b,instance_self,cautious_vs_assertive,0.43333333333333335,0.007828214274777406,0.01506537851921828,0.8779249498593735,1.6336149115602787,5,30
1b,instance_self,collaborative_vs_authoritative,0.4666666666666667,0.005482328550534752,0.018560818564626897,1.0608600139864808,1.5807241634885112,5,30
1b,instance_self,expansive_vs_terse,0.5,0.016120940823543158,0.03193529353607793,1.229111919756459,1.8187861019954628,5,30
1b,instance_self,selfref_vs_impersonal,0.3,0.008555230149395908,0.008268112271722647,1.2183671849644357,1.6314781182338716,5,30
1b,tool_only,cautious_vs_assertive,0.4,0.0011265320473233967,0.010552442929901375,0.7292054184443368,1.7656840155181182,5,30
1b,tool_only,collaborative_vs_authoritative,0.3,0.037051205715756624,0.02906933294291724,1.522136950025831,1.5589847690155842,5,30
1b,tool_only,expansive_vs_terse,0.2,0.020529390093164426,0.031302554057694144,1.2517425852432724,1.5167189855021483,5,30
1b,tool_only,selfref_vs_impersonal,0.2,0.00344435928295168,0.003988219061211642,1.2717548076328462,1.542957539899943,5,30
2.8b,baseline_helpful,cautious_vs_assertive,0.43333333333333335,0.004362596160220091,0.007230065043846409,0.6728347138973285,1.7407568102124789,5,30
