model_size_label,identity_frame,axis_name,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,hits,trials,seed_count,p_value_vs_chance,row_p_value_vs_chance,cluster_accuracy_mean,cluster_accuracy_ci95_low,cluster_accuracy_ci95_high,cluster_count,cluster_hits_above_chance,cluster_non_tie_count,cluster_tie_count,cluster_sign_p_value_vs_chance,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,p_value_vs_chance_holm,cluster_sign_p_value_vs_chance_holm
410m,instance_self,collaborative_vs_authoritative,0.3333333333333333,0.26666666666666666,0.4,60,180,5,0.5280066612174799,0.5280066612174799,0.3333333333333333,0.2222222222222222,0.4444444444444444,6,2,4,2,0.6874999999999998,0.021449339017762584,0.01827100148842967,1.0,1.0
70m,baseline_helpful,expansive_vs_terse,0.3333333333333333,0.26666666666666666,0.4,60,180,5,0.5280066612174799,0.5280066612174799,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0,0,6,,0.010443793690103315,0.005114651752772133,1.0,
70m,family_self,cautious_vs_assertive,0.3333333333333333,0.26666666666666666,0.4,60,180,5,0.5280066612174799,0.5280066612174799,0.3333333333333333,0.25,0.4166666666666667,6,1,2,4,0.7499999999999999,0.007994483687295283,0.003761912158489,1.0,1.0
70m,tool_only,collaborative_vs_authoritative,0.3333333333333333,0.26666666666666666,0.40555555555555556,60,180,5,0.5280066612174799,0.5280066612174799,0.3333333333333333,0.3333333333333333,0.3333333333333333,6,0,0,6,,0.011738695826940784,0.01205126568833812,1.0,
1b,family_self,cautious_vs_assertive,0.3055555555555556,0.2388888888888889,0.37777777777777777,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.2222222222222222,0.38888888888888884,6,1,3,3,0.8750000000000007,0.009175699421836735,0.010552442929901318,1.0,1.0
1b,instance_self,collaborative_vs_authoritative,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.24999999999999997,0.3333333333333333,6,0,1,5,1.0,0.005482328550534716,0.018560818564626835,1.0,1.0
1b,instance_self,selfref_vs_impersonal,0.3055555555555556,0.23333333333333334,0.37777777777777777,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.24999999999999997,0.3333333333333333,6,0,1,5,1.0,0.008555230149395866,0.0082681122717226,1.0,1.0
1b,tool_only,cautious_vs_assertive,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.24999999999999997,0.3333333333333333,6,0,1,5,1.0,0.0011265320473233832,0.010552442929901318,1.0,1.0
1b,tool_only,expansive_vs_terse,0.3055555555555556,0.24444444444444444,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.16666666666666666,0.4166666666666667,6,1,2,4,0.7499999999999999,0.020529390093164387,0.0313025540576941,1.0,1.0
2.8b,instance_self,cautious_vs_assertive,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.19444444444444442,0.47222222222222215,6,1,4,2,0.9374999999999996,0.008106491525856333,0.006815716513788534,1.0,1.0
2.8b,instance_self,collaborative_vs_authoritative,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.2222222222222222,0.3888888888888889,6,1,3,3,0.8750000000000007,0.011295978325202731,0.01602555873914618,1.0,1.0
2.8b,instance_self,expansive_vs_terse,0.3055555555555556,0.2388888888888889,0.37777777777777777,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.16666666666666666,0.4444444444444444,6,2,4,2,0.6874999999999998,0.009906314528741519,0.024009092520803153,1.0,1.0
410m,baseline_helpful,expansive_vs_terse,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.2222222222222222,0.3888888888888889,6,1,3,3,0.8750000000000007,0.021214018094555,0.014933745259796932,1.0,1.0
410m,instance_self,cautious_vs_assertive,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.19444444444444442,0.4444444444444444,6,2,5,1,0.8125000000000006,0.010883840916131699,0.008156226345917266,1.0,1.0
410m,instance_self,expansive_vs_terse,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.2222222222222222,0.3888888888888889,6,1,3,3,0.8750000000000007,0.019789531241971203,0.02404497359908805,1.0,1.0
410m,tool_only,collaborative_vs_authoritative,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.2222222222222222,0.3888888888888889,6,1,3,3,0.8750000000000007,0.019209278503921897,0.017506879612080344,1.0,1.0
70m,family_self,selfref_vs_impersonal,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.2222222222222222,0.3888888888888889,6,1,3,3,0.8750000000000007,0.007382063988793866,0.004348596554054975,1.0,1.0
70m,instance_self,cautious_vs_assertive,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.25,0.3333333333333333,6,0,1,5,1.0,0.0070443109925212655,0.004039964415534967,1.0,1.0
70m,instance_self,collaborative_vs_authoritative,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.2222222222222222,0.3888888888888889,6,1,3,3,0.8750000000000007,0.013974018323392718,0.013456930848887784,1.0,1.0
70m,tool_only,cautious_vs_assertive,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.2222222222222222,0.3888888888888889,6,1,3,3,0.8750000000000007,0.0015448357296228834,0.003761912158489,1.0,1.0
2.8b,baseline_helpful,selfref_vs_impersonal,0.2777777777777778,0.2111111111111111,0.34444444444444444,50,180,5,0.9533178726650756,0.9533178726650756,0.27777777777777773,0.13888888888888887,0.38888888888888884,6,1,3,3,0.8750000000000007,0.013757087583543583,0.008207000259692648,1.0,1.0
2.8b,family_self,cautious_vs_assertive,0.2777777777777778,0.21666666666666667,0.3445833333333326,50,180,5,0.9533178726650756,0.9533178726650756,0.2777777777777778,0.19444444444444442,0.38888888888888884,6,1,4,2,0.9374999999999996,0.0015154779752083664,0.0066601612321253514,1.0,1.0
2.8b,tool_only,collaborative_vs_authoritative,0.2777777777777778,0.2165277777777778,0.35,50,180,5,0.9533178726650756,0.9533178726650756,0.2777777777777778,0.2222222222222222,0.3333333333333333,6,0,2,4,0.9999999999999999,0.016178812609971536,0.014235331183545084,1.0,1.0
410m,baseline_helpful,collaborative_vs_authoritative,0.2777777777777778,0.21666666666666667,0.3388888888888889,50,180,5,0.9533178726650756,0.9533178726650756,0.27777777777777773,0.19444444444444442,0.38888888888888884,6,1,4,2,0.9374999999999996,0.011264285128601535,0.017122183602182466,1.0,1.0
410m,baseline_helpful,selfref_vs_impersonal,0.2777777777777778,0.2111111111111111,0.34444444444444444,50,180,5,0.9533178726650756,0.9533178726650756,0.27777777777777773,0.2222222222222222,0.3333333333333333,6,0,2,4,0.9999999999999999,0.006214429777621216,0.005073630769215067,1.0,1.0
410m,family_self,collaborative_vs_authoritative,0.2777777777777778,0.2111111111111111,0.34444444444444444,50,180,5,0.9533178726650756,0.9533178726650756,0.27777777777777773,0.19444444444444442,0.38888888888888884,6,1,4,2,0.9374999999999996,0.008052842466181634,0.017506879612080344,1.0,1.0
410m,family_self,expansive_vs_terse,0.2777777777777778,0.2111111111111111,0.34444444444444444,50,180,5,0.9533178726650756,0.9533178726650756,0.27777777777777773,0.16666666666666666,0.3333333333333333,6,0,1,5,1.0,0.016063346463166202,0.015459330021504184,1.0,1.0
70m,family_self,collaborative_vs_authoritative,0.2777777777777778,0.2111111111111111,0.34444444444444444,50,180,5,0.9533178726650756,0.9533178726650756,0.27777777777777773,0.13888888888888887,0.3888888888888889,6,1,3,3,0.8750000000000007,0.014712592536913248,0.01205126568833812,1.0,1.0
70m,family_self,expansive_vs_terse,0.2777777777777778,0.2111111111111111,0.34444444444444444,50,180,5,0.9533178726650756,0.9533178726650756,0.27777777777777773,0.2222222222222222,0.3333333333333333,6,0,2,4,0.9999999999999999,0.028090958119490084,0.0086534185033554,1.0,1.0
1b,tool_only,selfref_vs_impersonal,0.25,0.18333333333333332,0.3111111111111111,45,180,5,0.9938649924383293,0.9938649924383293,0.24999999999999997,0.19444444444444442,0.3055555555555555,6,0,3,3,1.0,0.003444359282951633,0.0039882190612116055,1.0,1.0
2.8b,baseline_helpful,collaborative_vs_authoritative,0.25,0.18888888888888888,0.31666666666666665,45,180,5,0.9938649924383293,0.9938649924383293,0.25,0.13888888888888887,0.38888888888888884,6,1,4,2,0.9374999999999996,0.018648854272022383,0.014281657816999867,1.0,1.0
2.8b,baseline_helpful,expansive_vs_terse,0.25,0.18888888888888888,0.3111111111111111,45,180,5,0.9938649924383293,0.9938649924383293,0.24999999999999997,0.13888888888888887,0.36111111111111116,6,1,4,2,0.9374999999999996,0.01735878372696225,0.013907640060698482,1.0,1.0
2.8b,family_self,selfref_vs_impersonal,0.25,0.18888888888888888,0.31666666666666665,45,180,5,0.9938649924383293,0.9938649924383293,0.25,0.19444444444444442,0.3055555555555555,6,0,3,3,1.0,0.005606126928474065,0.011466392375887782,1.0,1.0
2.8b,instance_self,selfref_vs_impersonal,0.25,0.18888888888888888,0.3111111111111111,45,180,5,0.9938649924383293,0.9938649924383293,0.25,0.1111111111111111,0.38888888888888884,6,1,3,3,0.8750000000000007,0.0036971820577834337,0.010210363002959967,1.0,1.0
410m,family_self,selfref_vs_impersonal,0.25,0.18888888888888888,0.3111111111111111,45,180,5,0.9938649924383293,0.9938649924383293,0.25,0.1111111111111111,0.36111111111111116,6,1,4,2,0.9374999999999996,0.0031977122682296504,0.0036814366416054326,1.0,1.0
70m,baseline_helpful,cautious_vs_assertive,0.25,0.18888888888888888,0.31666666666666665,45,180,5,0.9938649924383293,0.9938649924383293,0.24999999999999997,0.1111111111111111,0.38888888888888884,6,1,4,2,0.9374999999999996,0.009236432710141648,0.007262273384122317,1.0,1.0
70m,baseline_helpful,collaborative_vs_authoritative,0.25,0.18888888888888888,0.31666666666666665,45,180,5,0.9938649924383293,0.9938649924383293,0.25,0.13888888888888887,0.3333333333333333,6,0,2,4,0.9999999999999999,0.01702428724183128,0.0078677040989114,1.0,1.0
70m,instance_self,expansive_vs_terse,0.25,0.18888888888888888,0.3111111111111111,45,180,5,0.9938649924383293,0.9938649924383293,0.24999999999999997,0.13888888888888887,0.3333333333333333,6,0,2,4,0.9999999999999999,0.013781329087356095,0.010490127677653383,1.0,1.0
410m,tool_only,selfref_vs_impersonal,0.2222222222222222,0.16111111111111112,0.2833333333333333,40,180,5,0.9995954492237793,0.9995954492237793,0.2222222222222222,0.16666666666666666,0.3333333333333333,6,1,6,0,0.9843750000000016,0.006860955976885067,0.0036814366416054326,1.0,1.0
1b,tool_only,collaborative_vs_authoritative,0.19444444444444445,0.1388888888888889,0.25,35,180,5,0.9999876760215697,0.9999876760215697,0.19444444444444442,0.1111111111111111,0.27777777777777773,6,0,4,2,0.9999999999999994,0.03705120571575658,0.029069332942917192,1.0,1.0
2.8b,family_self,collaborative_vs_authoritative,0.19444444444444445,0.1388888888888889,0.25555555555555554,35,180,5,0.9999876760215697,0.9999876760215697,0.19444444444444445,0.05555555555555555,0.3333333333333333,6,1,5,1,0.9687500000000009,0.008882446896707584,0.014235331183545084,1.0,1.0
2.8b,family_self,expansive_vs_terse,0.19444444444444445,0.1388888888888889,0.25555555555555554,35,180,5,0.9999876760215697,0.9999876760215697,0.19444444444444442,0.16666666666666666,0.25,6,0,5,1,1.0,0.03214454652388541,0.028586484080292147,1.0,1.0
70m,instance_self,selfref_vs_impersonal,0.19444444444444445,0.1388888888888889,0.25555555555555554,35,180,5,0.9999876760215697,0.9999876760215697,0.19444444444444442,0.1111111111111111,0.2777777777777778,6,0,4,2,0.9999999999999994,0.0030912184354855332,0.0013681134600487665,1.0,1.0
