evaluator_revision,source_revision,n,avg_logprob_mean,avg_logprob_ci95_low,avg_logprob_ci95_high,perplexity_mean,perplexity_ci95_low,perplexity_ci95_high,self_preferred_mean,self_preferred_ci95_low,self_preferred_ci95_high,distance_from_diagonal_mean,distance_from_diagonal_ci95_low,distance_from_diagonal_ci95_high,diagonal_margin_logprob_mean,diagonal_margin_logprob_ci95_low,diagonal_margin_logprob_ci95_high
step128000,step128000,6,-1.0624512632687886,-1.2835002032419047,-0.8521000345547994,3.0116643306812194,2.3591650577544527,3.7101148330814717,0.16666666666666666,0.0,0.5,0.0,0.0,0.0,-0.22519190112749735,-0.3905350871384144,-0.05766097108523058
step128000,step143000,6,-1.0199427505334218,-1.2003638801475367,-0.8323647610843182,2.8461481706385086,2.340220161888978,3.368865059261045,0.16666666666666666,0.0,0.5,15000.0,15000.0,15000.0,-0.22519190112749735,-0.3905350871384144,-0.05766097108523058
step128000,step16000,6,-1.084571123123169,-1.413030465443929,-0.7622567315896353,3.207716581857555,2.179390783986545,4.254120247143104,0.16666666666666666,0.0,0.5,112000.0,112000.0,112000.0,-0.22519190112749735,-0.3905350871384144,-0.05766097108523058
step128000,step4000,6,-1.0288121700286865,-1.195999989906947,-0.8877359330654144,2.8488504053507318,2.4396011745192414,3.3529980697199293,0.16666666666666666,0.0,0.5,124000.0,124000.0,124000.0,-0.22519190112749735,-0.3905350871384144,-0.05766097108523058
step128000,step64000,6,-1.1413672069708507,-1.3074380134542782,-0.9552772502104442,3.2039478491759237,2.6431633703573922,3.722036722768954,0.16666666666666666,0.0,0.5,64000.0,64000.0,64000.0,-0.22519190112749735,-0.3905350871384144,-0.05766097108523058
step143000,step128000,6,-1.07488352060318,-1.3057638943195344,-0.8499555687109629,3.060882055226475,2.361472152238892,3.7857682734939058,0.3333333333333333,0.0,0.6666666666666666,15000.0,15000.0,15000.0,-0.1746635635693868,-0.41675178209940594,-0.0002988676230112712
step143000,step143000,6,-0.9880146284898123,-1.1693132614096007,-0.8012320555746556,2.759013137072859,2.256587808453441,3.261337667336491,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,-0.1746635635693868,-0.41675178209940594,-0.0002988676230112712
step143000,step16000,6,-1.0845030546188354,-1.416483121116956,-0.7578020691871643,3.2198341268597646,2.1655855709911207,4.293909435126499,0.3333333333333333,0.0,0.6666666666666666,127000.0,127000.0,127000.0,-0.1746635635693868,-0.41675178209940594,-0.0002988676230112712
step143000,step4000,6,-1.0171279509862263,-1.1899987558523815,-0.8726177235444387,2.8213712253962435,2.4075654805824764,3.3301743801043746,0.3333333333333333,0.0,0.6666666666666666,139000.0,139000.0,139000.0,-0.1746635635693868,-0.41675178209940594,-0.0002988676230112712
step143000,step64000,6,-1.1466609636942546,-1.3065502901872,-0.9560485422611237,3.218589069869454,2.65951961693331,3.7136944939318135,0.3333333333333333,0.0,0.6666666666666666,79000.0,79000.0,79000.0,-0.1746635635693868,-0.41675178209940594,-0.0002988676230112712
