evaluator_revision,step4000,step16000,step64000,step128000,step143000
step4000,-0.9811252653598785,-1.2131620744864147,-1.46455321709315,-1.4074508150418599,-1.2579219043254852
step16000,-1.0014946858088176,-0.965896725654602,-1.2543131907780964,-1.181495686372121,-1.0656293332576752
step64000,-1.0305887858072917,-1.0619919896125793,-1.0882628262043,-1.1297073264916737,-1.0474793314933777
step128000,-1.0288121700286865,-1.084571123123169,-1.1413672069708507,-1.0624512632687886,-1.0199427505334218
step143000,-1.0171279509862263,-1.0845030546188354,-1.1466609636942546,-1.07488352060318,-0.9880146284898123
