pair_name,control_kind,graft_mode,prompt_family,n,prompt_count,donor_identity_fraction_mean,donor_identity_fraction_ci95_low,donor_identity_fraction_ci95_high,js_to_host_mean,js_to_host_ci95_low,js_to_host_ci95_high,js_to_donor_mean,js_to_donor_ci95_low,js_to_donor_ci95_high,text_donor_identity_fraction_mean,text_donor_identity_fraction_ci95_low,text_donor_identity_fraction_ci95_high,semantic_donor_identity_fraction_mean,semantic_donor_identity_fraction_ci95_low,semantic_donor_identity_fraction_ci95_high,recovery_fraction_mean,recovery_fraction_ci95_low,recovery_fraction_ci95_high,persistence_mean,persistence_ci95_low,persistence_ci95_high,cad_mean,cad_ci95_low,cad_ci95_high,next_token_kl_mean,next_token_kl_ci95_low,next_token_kl_ci95_high,activation_norm_deviation_mean,activation_norm_deviation_ci95_low,activation_norm_deviation_ci95_high,verbal_donor_claim_mean,verbal_donor_claim_ci95_low,verbal_donor_claim_ci95_high
later_host_young_donor,adjacent,prefix,advice,50,1,0.12785917945725925,0.08404490535306425,0.17651567123497994,0.001640865004155785,0.0008357098972046514,0.0026086391125863884,0.007168065775185823,0.0068341431582812215,0.007501728021074086,0.02048815561602849,0.002823455618116168,0.04026600793190197,0.03150865053222807,0.008810373245642064,0.06053045206040038,0.016973994870168287,0.004746049523684257,0.03041458470379816,0.9830260051298316,0.9695854152962019,0.9952539504763157,304.6630868911743,200.76394910430906,411.5090434818267,0.00666477665072307,0.003370004467782564,0.010626207129564136,18.10344994043,12.203616849055514,24.260578333075152,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,continuation,50,1,0.18876589580437345,0.14734848796446964,0.23286817790660708,0.0018668732617516072,0.0011132139844849008,0.002822203918127343,0.00529493379406631,0.004867699162103236,0.005846885081380605,0.39975949262524735,0.353275830692079,0.4462431545584157,0.5595565015594421,0.4944917920757861,0.6246212110430983,0.0,0.0,0.0,1.0,1.0,1.0,340.3208399057388,230.68671020329,452.9409990559816,0.007549480320885777,0.0045387283937307074,0.011349191514775156,18.952244475800544,12.503128948243335,25.79402333620703,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,explanation,50,1,0.1563270725545517,0.10789968434996487,0.20672514889574709,0.0020688191600493153,0.001183020162574394,0.0031784337080680413,0.008208048017695545,0.007734745674300938,0.008661773606436328,0.0,0.0,0.0,-4.259550705308592e-16,-4.259550705308592e-16,-4.259550705308592e-16,0.0,0.0,0.0,1.0,1.0,1.0,353.49838306427,229.85949205970763,481.42288132381435,0.008440194881986827,0.004814222176195472,0.012934172642300837,20.09299500670284,12.92619060330838,27.657211675679314,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,judgment,200,4,0.19200568073376076,0.15269005793715262,0.23208679262801618,0.00554981995930575,0.0040487676336733785,0.0072442857726882715,0.0193445289041847,0.01750354764435906,0.02097814763971837,0.273794366467364,0.23330083559485412,0.3111204346990113,0.2724990806419451,0.23206002735941655,0.3102011716598594,0.0,0.0,0.0,1.0,1.0,1.0,353.62889620482923,290.5871959653199,415.86056794796883,0.025904295647342222,0.017974850888458606,0.03460123847649083,19.93491115090903,16.259903826690046,23.602163638660915,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,style_opening,50,1,0.09921808040099701,0.06352740140545779,0.138063136711761,0.0010691720237809932,0.0005203458319465427,0.0017230586058831249,0.006797215873375535,0.006547503107693047,0.0070471155112609265,0.16718239727820333,0.12994723200179747,0.22165272783109086,0.07496909891435787,0.0495713349831567,0.11253839018367923,0.0,0.0,0.0,1.0,1.0,1.0,360.69691348075867,232.41401357388494,492.69271737957,0.004181271861307323,0.0020655370572494574,0.006684098666693898,21.009747080300002,13.757982822137885,28.602468678235542,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,advice,50,1,0.09125074101061989,0.05298255688693723,0.13375292769699218,0.0010640999225142878,0.0004240899776123115,0.0018904429319227345,0.006536689102649689,0.006270303204189986,0.006841560058295727,0.014132305944122334,0.0007103033001550106,0.03391015825999581,0.022663666357522552,0.0024868490040557594,0.051685467885694863,0.013900107334642024,0.0021876684534301795,0.02723919851257547,0.9860998926653579,0.9727608014874245,0.9978123315465698,112.06421390414238,66.24190027236938,160.9093567058146,0.004324421373894438,0.001710957831615815,0.007694619215064448,0.10492241554893553,0.06189772209408693,0.15292539795348417,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,continuation,50,1,0.12166377323531993,0.08802359522932807,0.15937941216949006,0.0011703532974934206,0.0005640764531999593,0.001982978528329113,0.0052587626641616226,0.004881002752343193,0.005766442081308924,0.3811660278519801,0.3253856335321781,0.4276496897851484,0.5335306177659798,0.4554529663855925,0.5985953272496358,0.0,0.0,0.0,1.0,1.0,1.0,128.52368874430655,76.99631688010692,179.22693883818386,0.004692058154614642,0.0022910763593681624,0.007919223874108865,0.1811056778766215,0.11521388988150284,0.25244003377156327,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,explanation,50,1,0.0957507803142141,0.056393694813494356,0.1394920361833731,0.001212221227469854,0.0005235779294926033,0.0021223373702705427,0.008011907553300262,0.007666002425132319,0.008381346259498969,0.0,0.0,0.0,-4.259550705308592e-16,-4.259550705308592e-16,-4.259550705308592e-16,0.0,0.0,0.0,1.0,1.0,1.0,130.27667525291443,75.49739332675934,187.60602600288388,0.004968660625163466,0.0021195569494011583,0.0087299803745409,0.30452743601053955,0.2285322388773784,0.37635506740771235,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,judgment,200,4,0.12793284326836363,0.09690469965545456,0.1599121185249651,0.003441483380374848,0.002302291137408247,0.004642648363406806,0.01972190593602136,0.01801953834341839,0.021301485003612466,0.24634442812919527,0.20949444777392473,0.27902374805741653,0.24069447178479508,0.20349417666994166,0.27232653807564583,0.0,0.0,0.0,1.0,1.0,1.0,131.04256086945534,104.66445709016175,159.20603633569925,0.015577385874021275,0.009927128408067802,0.021758183511319654,0.10788654747884721,0.08170128594897687,0.13522601880086582,0.99,0.975,1.0
later_host_young_donor,adjacent,single_layer,style_opening,50,1,0.06918179162643862,0.03722108623273463,0.10389403165193101,0.000705962397478288,0.00026568539087747924,0.001296778442832874,0.006369982659816742,0.006197332915849983,0.006564906748011709,0.14993589792262424,0.12994723200179747,0.17933817452952291,0.061758671998352346,0.0495713349831567,0.08351460526104942,0.0,0.0,0.0,1.0,1.0,1.0,129.96117621660233,73.27969299799204,188.5531467325687,0.0027556483319494873,0.0010582979103783145,0.005029137984049157,0.17789325760677457,0.1160040829796344,0.23801310195680708,1.0,1.0,1.0
