pair_name,control_kind,graft_mode,token_position_label,n,prompt_count,donor_identity_fraction_mean,donor_identity_fraction_ci95_low,donor_identity_fraction_ci95_high,js_to_host_mean,js_to_host_ci95_low,js_to_host_ci95_high,js_to_donor_mean,js_to_donor_ci95_low,js_to_donor_ci95_high,text_donor_identity_fraction_mean,text_donor_identity_fraction_ci95_low,text_donor_identity_fraction_ci95_high,semantic_donor_identity_fraction_mean,semantic_donor_identity_fraction_ci95_low,semantic_donor_identity_fraction_ci95_high,recovery_fraction_mean,recovery_fraction_ci95_low,recovery_fraction_ci95_high,persistence_mean,persistence_ci95_low,persistence_ci95_high,cad_mean,cad_ci95_low,cad_ci95_high,next_token_kl_mean,next_token_kl_ci95_low,next_token_kl_ci95_high,activation_norm_deviation_mean,activation_norm_deviation_ci95_low,activation_norm_deviation_ci95_high,verbal_donor_claim_mean,verbal_donor_claim_ci95_low,verbal_donor_claim_ci95_high
later_host_young_donor,adjacent,prefix,first_prompt_token,200,8,0.04432358918985203,0.0381290685996751,0.05045713778840719,0.0004925782913414877,0.0004413202910345717,0.0005449525857220578,0.016005855775438248,0.014377677537384443,0.017647043634031433,0.17389391892039682,0.14139002879162638,0.2030443626963223,0.17602572195483007,0.14318978968423918,0.2086786101973292,0.0,0.0,0.0,1.0,1.0,1.0,630.0027157193422,562.1936709574014,696.1480484615862,0.0019951194780878723,0.0017868583838062477,0.0022095123213111945,35.254082979499366,31.184468614280924,39.32467375035747,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,last_prompt_token,200,8,0.290724648598204,0.25363062186449226,0.3306818028168098,0.006718674030398688,0.0052359030252559936,0.008367939758757074,0.010205738993827254,0.00894230481964769,0.011506339795480018,0.24675795892683688,0.20543305351706778,0.2849648982663878,0.262981921438622,0.2161122891622751,0.3044821749604404,0.004243498717542072,0.0011158810518373855,0.00839086280485435,0.995756501282458,0.9916091371951457,0.9988841189481626,63.420986320972446,56.19938090282679,70.77255148041249,0.030618107097980102,0.022713103770332966,0.03960414320659402,4.220437297218013,3.445154751871887,5.080355558815005,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,first_prompt_token,200,8,0.019019320365929394,0.016828481114513103,0.02132963601735405,0.00018827636438800254,0.00017333638279978914,0.00020366972469855682,0.015219044466502964,0.013527432917617262,0.016873981767275836,0.18519187327341002,0.1547133667115101,0.2152198225213466,0.18421203486775917,0.15005475313540884,0.215619557084912,0.0,0.0,0.0,1.0,1.0,1.0,229.35619824051858,197.300883491531,263.89100118902326,0.0007594301893186639,0.0006985003932604741,0.0008229558027023813,0.13118086799513548,0.11109148417937104,0.15414867819298525,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,last_prompt_token,200,8,0.20337529444908234,0.17045972639437423,0.2357888765867086,0.004291366227225808,0.003074938656705854,0.005539854622918028,0.011047196964500471,0.009772864277067127,0.012481034279917367,0.19746111278546685,0.16582495998455507,0.22724278410170792,0.21097067594749952,0.1724434280563357,0.24742179445502877,0.003475026833660506,0.0005469171133575449,0.007373038060027941,0.9965249731663394,0.9926269619399721,0.9994530828866425,26.892801158428192,23.980416367053987,30.065122689306737,0.01900315280610812,0.01307680742318189,0.025384890622055536,0.1688178762444295,0.12854015711217653,0.20884589773870538,0.99,0.975,1.0
later_host_young_donor,adjacent,suffix,first_prompt_token,200,8,0.030863375857268692,0.026620212514417093,0.035159311130772454,0.00034996729646081804,0.0003079644645176813,0.00039182609870840675,0.01572510494850576,0.01404809044045396,0.01742814189620549,0.20404945594791138,0.17048726016120602,0.23833094126843513,0.19353424488021992,0.16131478884349695,0.22780657251227346,0.0,0.0,0.0,1.0,1.0,1.0,467.80925058245657,414.0233036607504,521.3611928271949,0.0014190825482364743,0.0012470041461529037,0.0015902428359113399,47.61726459689439,43.84194190484658,50.97478954710439,0.995,0.985,1.0
later_host_young_donor,adjacent,suffix,last_prompt_token,200,8,0.5958619647603511,0.5512530954197257,0.6357281080596497,0.013179790132635389,0.011400660778431302,0.015022323731180221,0.006436732155270875,0.005538105298328446,0.007532045727013609,0.22881551878605474,0.18896155981355228,0.26529313959776746,0.22713365413130027,0.18537494753483416,0.265437676848094,0.008374045751600737,0.003762713125186177,0.014205428887362127,0.9916259542483994,0.9857945711126378,0.9962372868748139,72.04394754588604,64.76458106011152,79.57452614572644,0.05994328097047401,0.05047864073899473,0.07018406043839787,11.027723532915115,10.089540471345186,11.939441050097345,1.0,1.0,1.0
later_host_young_donor,name_only,none,first_prompt_token,8,8,0.43707811611778435,0.390253377466684,0.4821394264488918,0.15033517684787512,0.10922515816055238,0.20197095349431038,0.19136557262390852,0.14732684008777142,0.24264851410407573,0.4642352667321038,0.41765061585979935,0.5079830091998454,0.39309190257450605,0.29169445357902957,0.48018034705941387,,,,,,,,,,,,,,,,1.0,1.0,1.0
later_host_young_donor,name_only,none,last_prompt_token,8,8,0.43707811611778435,0.390253377466684,0.4821394264488918,0.15033517684787512,0.10922515816055238,0.20197095349431038,0.19136557262390852,0.14732684008777142,0.24264851410407573,0.4642352667321038,0.41765061585979935,0.5079830091998454,0.39309190257450605,0.29169445357902957,0.48018034705941387,,,,,,,,,,,,,,,,1.0,1.0,1.0
later_host_young_donor,primary,prefix,first_prompt_token,200,8,0.09576001187543895,0.08028369710171376,0.11210076541870514,0.005213107951785787,0.004363956168847835,0.0061322422690318484,0.049811136024072764,0.046679049039958044,0.053118399926228445,0.29527489698451237,0.25747480276984464,0.33259807831708843,0.26240187848902435,0.23085926984977317,0.2932189741714093,0.3982350805472779,0.3537402025356419,0.44097790016359867,0.6017649194527221,0.5590220998364014,0.646259797464358,3180.1836926442384,2865.191906556383,3477.5552724659296,0.022564636363094904,0.018703253507112095,0.026785232121161243,174.92132005044724,153.04905795104767,194.66632442795088,1.0,1.0,1.0
later_host_young_donor,primary,prefix,last_prompt_token,200,8,0.38592948796855675,0.3518622914300071,0.4204573577286964,0.03448594399211288,0.030136110893814474,0.03899639810359167,0.04382334231864661,0.0408094214781886,0.04734306426090189,0.3344212635265796,0.304440908269405,0.3611463524386593,0.30023469631783933,0.2757987046638023,0.3236697845615187,0.03614774453108785,0.024413629576779828,0.04925397825999926,0.9638522554689121,0.9507460217400009,0.9755863704232202,292.1636948132515,264.65020498377083,318.9849417451024,0.16566979973649723,0.1412067593803986,0.19100603938202765,17.923160999708344,15.497373014090524,20.351929870061575,0.97,0.945,0.99
later_host_young_donor,primary,single_layer,first_prompt_token,200,8,0.017593524024551197,0.014220035808541101,0.021212502951632604,0.0009010024595045252,0.000727672650358727,0.00109325021328641,0.05112314119935036,0.04864680991834029,0.05377640183037147,0.1861711646862203,0.1579190341644385,0.21350783484961522,0.17073241181772972,0.14396288985246156,0.19782789364417402,0.25962639569261703,0.21932879986374623,0.29822559200240367,0.7403736043073829,0.7017744079975963,0.7806712001362537,1191.6866887056829,1040.9827110449596,1349.3904141699597,0.0036762833627290094,0.002954557067110727,0.004479318771027465,0.13118086799513548,0.11109148417937104,0.15414867819298525,1.0,1.0,1.0
later_host_young_donor,primary,single_layer,last_prompt_token,200,8,0.3143700714191467,0.2803766453342465,0.35017151990599393,0.0229210358189448,0.01932837380139608,0.026650798856107938,0.040615873034112154,0.037629169874824585,0.043984563541831445,0.1991136910265955,0.17104990628506112,0.22821296846212655,0.18365245734544422,0.15598964659271747,0.2100408207032475,0.022101472035617076,0.013314397170212095,0.032188814122582024,0.9778985279643829,0.967811185877418,0.9866856028297879,108.12350164175034,97.74502750065923,118.33826630517841,0.10721196469807183,0.08851290171191066,0.1255994434060558,0.1688178762444295,0.12854015711217653,0.20884589773870538,1.0,1.0,1.0
later_host_young_donor,primary,suffix,first_prompt_token,200,8,0.03773064587286545,0.029224426607051424,0.047539273444839235,0.002052717538390425,0.0015715720625967152,0.0025829363564662342,0.05167576689273119,0.0489232613267377,0.054605185055173935,0.22072506780673462,0.18666108475811413,0.2516730173569083,0.19707876381467726,0.16710799259033432,0.22474414592163963,0.4917522846482547,0.4498119336729736,0.5280617617016473,0.5082477153517452,0.47193823829835274,0.5501880663270264,2249.694788416624,1976.830466082655,2515.133899612196,0.008710955267597456,0.0065682647737703515,0.011084096276452328,221.17037196345626,203.3095081861578,236.51422859547287,1.0,1.0,1.0
later_host_young_donor,primary,suffix,last_prompt_token,200,8,0.3848266709059007,0.3554443681522181,0.4115526279820949,0.08892202693336003,0.08048839189710179,0.0966759155031541,0.108657894320786,0.10056587903853506,0.11621698500681668,0.23953956496560744,0.20463492028597413,0.2728378866475931,0.19956119835283193,0.17073050527327793,0.22657228282758354,0.12058926343794883,0.10508968234448952,0.13686120631723747,0.879410736562051,0.8631387936827625,0.8949103176555105,273.5336156910658,244.7708409115225,300.35621945464607,0.6126568608971138,0.5481510353988996,0.6796712538357824,49.00091820597649,45.02369719669223,52.542348900347946,0.99,0.975,1.0
later_host_young_donor,random_same_norm,prefix,first_prompt_token,200,8,0.2775200600809918,0.24932135237329783,0.3053226922621429,0.03316359187396301,0.02815967312122666,0.038666256282772336,0.06304544911719859,0.058510812825057656,0.06760214671422728,0.3267628221583452,0.2929635568679801,0.3544998849885924,0.29951232204953276,0.2696616142436196,0.3254210431762776,0.22142453192059905,0.18733752279063792,0.2561451540212748,0.7785754680794009,0.7438548459787251,0.8126624772093621,2661.339248598218,2363.60115539667,2977.0282614701537,0.14492880220073856,0.12245004654858349,0.16865159705984478,132.06988364884165,115.12555022462958,148.76106003210634,0.97,0.945,0.99
later_host_young_donor,random_same_norm,prefix,last_prompt_token,200,8,0.2883439660681498,0.25775278529383433,0.3152109359071829,0.06535496140022587,0.05250888776872216,0.07855821687592196,0.09722911686170846,0.08589419334603007,0.10960674356983509,0.29968293910439364,0.2661234610686992,0.32876902776481415,0.2738680465217491,0.243182128525247,0.2997846969162872,1.9129522230579116e-05,0.0,5.738856669173735e-05,0.9999808704777695,0.9999426114333082,1.0,236.05981972932815,209.75969730973245,260.88736493426563,0.32051874164331823,0.25091372857328315,0.4002064767258998,13.76446025937097,11.805280716677489,15.995029839706142,0.99,0.975,1.0
later_host_young_donor,random_same_norm,single_layer,first_prompt_token,200,8,0.14319845224538608,0.12340377604129851,0.16399754656712068,0.012311458631957066,0.010144852692386849,0.014717611100038084,0.05559059958904981,0.05242836292181164,0.058631411583162846,0.2760541204601153,0.24364678803051584,0.3089031282582953,0.2525311375604698,0.22348707763398867,0.2806565648824249,0.19295294274383185,0.16190613613462387,0.22631623123764927,0.8070470572561681,0.7736837687623508,0.8380938638653762,1243.1829162752629,1060.7759976947755,1435.7314536798374,0.05157064136481495,0.04252293979330716,0.0614174883845626,0.13118086799513548,0.11109148417937104,0.15414867819298525,0.99,0.975,1.0
later_host_young_donor,random_same_norm,single_layer,last_prompt_token,200,8,0.25593889227290256,0.22768847173768475,0.2833448118349583,0.05704203916808183,0.04549296638086071,0.06897034063303273,0.09165270551107824,0.08106740651209839,0.10292434578854591,0.23453685507801839,0.20156891618620126,0.264303058287899,0.2085202102391021,0.1777971498352906,0.23591127760179953,0.0005533251765653924,0.0,0.001659975529696177,0.9994466748234346,0.9983400244703039,1.0,109.72560420751572,99.37533258008958,120.40171199592947,0.2794014961454377,0.21576294412056815,0.344859103975803,0.1688178762444295,0.12854015711217653,0.20884589773870538,0.995,0.985,1.0
later_host_young_donor,random_same_norm,suffix,first_prompt_token,200,8,0.1938816859441768,0.16966629636423272,0.21900491979901143,0.02465727647439053,0.01972728974515576,0.029808055988703015,0.06407008165493608,0.0602686942233704,0.06809169162297622,0.3045911970948629,0.274105371161396,0.33634790071774096,0.2946970822444668,0.2662816061624709,0.3241520137260634,0.2671724143092619,0.23201438417966977,0.29950420517000326,0.7328275856907379,0.7004957948299967,0.7679856158203302,1691.1402359950544,1466.0427779514193,1906.761475892447,0.1039247019898903,0.08344508854180822,0.12658344121985646,169.02074599452317,153.58975566008874,183.50047454199193,0.975,0.95,0.995
later_host_young_donor,random_same_norm,suffix,last_prompt_token,200,8,0.3701719186633403,0.34218552942929686,0.39376563751242716,0.1975837795186817,0.17450929347760755,0.2199097908053509,0.22398028317838908,0.2031390466336161,0.24405159710533916,0.3110824044797086,0.28116225774944936,0.34233139329779017,0.2796308092704226,0.2503704386806034,0.30873400577450355,0.0,0.0,0.0,1.0,1.0,1.0,239.2612842530012,212.84469671446087,264.4949546766579,1.15978881972449,0.9934344240643951,1.3132965727782757,42.34619846224785,38.54954814133048,46.07100692212581,0.995,0.985,1.0
