pair_name,control_kind,graft_mode,token_position_label,layer_label,blend_lambda,n,prompt_count,donor_identity_fraction_mean,donor_identity_fraction_ci95_low,donor_identity_fraction_ci95_high,js_to_host_mean,js_to_host_ci95_low,js_to_host_ci95_high,js_to_donor_mean,js_to_donor_ci95_low,js_to_donor_ci95_high,text_donor_identity_fraction_mean,text_donor_identity_fraction_ci95_low,text_donor_identity_fraction_ci95_high,semantic_donor_identity_fraction_mean,semantic_donor_identity_fraction_ci95_low,semantic_donor_identity_fraction_ci95_high,recovery_fraction_mean,recovery_fraction_ci95_low,recovery_fraction_ci95_high,persistence_mean,persistence_ci95_low,persistence_ci95_high,cad_mean,cad_ci95_low,cad_ci95_high,next_token_kl_mean,next_token_kl_ci95_low,next_token_kl_ci95_high,activation_norm_deviation_mean,activation_norm_deviation_ci95_low,activation_norm_deviation_ci95_high,verbal_donor_claim_mean,verbal_donor_claim_ci95_low,verbal_donor_claim_ci95_high
later_host_young_donor,adjacent,prefix,last_prompt_token,early,0.0,2,2,0.009997173879426387,0.006911480512870366,0.01308286724598241,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.007625817786902189,0.006821657530963421,0.008429978042840958,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,4.864905834197998,4.087335586547852,5.6424760818481445,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.019847603514790535,0.019280651584267616,0.020414555445313454,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,last_prompt_token,early,1.0,2,2,0.04815609073840816,0.03743465919411945,0.05887752228269687,0.0003877336857840419,0.00024300592485815287,0.0005324614467099309,0.007379772607237101,0.006248462945222855,0.008511082269251347,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,25.66676902770996,23.693435668945312,27.64010238647461,0.001551586581626907,0.0009703671676106751,0.002132805995643139,1.305209219455719,1.2768423557281494,1.3335760831832886,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,last_prompt_token,late,0.0,2,2,0.009997173879426387,0.006911480512870366,0.01308286724598241,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.007625817786902189,0.006821657530963421,0.008429978042840958,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,4.864905834197998,4.087335586547852,5.6424760818481445,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.6365379989147186,0.5758330225944519,0.6972429752349854,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,last_prompt_token,late,1.0,2,2,0.5893764900670252,0.5715266111471656,0.6072263689868848,0.01737334579229355,0.016827363520860672,0.017919328063726425,0.012103135697543621,0.011590800248086452,0.01261547114700079,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,136.35637664794922,129.84481811523438,142.86793518066406,0.07053617015480995,0.06998962163925171,0.0710827186703682,18.142408847808838,14.357693672180176,21.9271240234375,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,last_prompt_token,middle,0.0,2,2,0.009997173879426387,0.006911480512870366,0.01308286724598241,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.007625817786902189,0.006821657530963421,0.008429978042840958,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,4.864905834197998,4.087335586547852,5.6424760818481445,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.026819653809070587,0.022330861538648605,0.03130844607949257,1.0,1.0,1.0
later_host_young_donor,adjacent,prefix,last_prompt_token,middle,1.0,2,2,0.27266897222755143,0.2437182650691119,0.301619679385991,0.002108428510837257,0.0015881434082984924,0.0026287136133760214,0.005507388385012746,0.00492816511541605,0.006086611654609442,0.0,0.0,0.0,0.13683151449633346,-2.692793228288912e-16,0.2736630289926672,0.0,0.0,0.0,1.0,1.0,1.0,64.56851196289062,62.577049255371094,66.55997467041016,0.008555229287594557,0.00634285993874073,0.010767598636448383,3.8978261947631836,3.8189823627471924,3.976670026779175,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,last_prompt_token,early,0.0,2,2,0.009997173879426387,0.006911480512870366,0.01308286724598241,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.007625817786902189,0.006821657530963421,0.008429978042840958,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,4.829723358154297,4.053579330444336,5.605867385864258,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.019847603514790535,0.019280651584267616,0.020414555445313454,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,last_prompt_token,early,1.0,2,2,0.04815609073840816,0.03743465919411945,0.05887752228269687,0.0003877336857840419,0.00024300592485815287,0.0005324614467099309,0.007379772607237101,0.006248462945222855,0.008511082269251347,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,23.520543098449707,21.594772338867188,25.446313858032227,0.001551586581626907,0.0009703671676106751,0.002132805995643139,0.019847603514790535,0.019280651584267616,0.020414555445313454,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,last_prompt_token,late,0.0,2,2,0.009997173879426387,0.006911480512870366,0.01308286724598241,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.007625817786902189,0.006821657530963421,0.008429978042840958,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,2.4785460233688354,2.0406596660614014,2.9164323806762695,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.6365379989147186,0.5758330225944519,0.6972429752349854,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,last_prompt_token,late,1.0,2,2,0.5893764900670252,0.5715266111471656,0.6072263689868848,0.01737334579229355,0.016827363520860672,0.017919328063726425,0.012103135697543621,0.011590800248086452,0.01261547114700079,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,36.981645584106445,35.3248176574707,38.63847351074219,0.07053617015480995,0.06998962163925171,0.0710827186703682,0.6365379989147186,0.5758330225944519,0.6972429752349854,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,last_prompt_token,middle,0.0,2,2,0.009997173879426387,0.006911480512870366,0.01308286724598241,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.007625817786902189,0.006821657530963421,0.008429978042840958,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,4.566337704658508,3.829490900039673,5.303184509277344,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.026819653809070587,0.022330861538648605,0.03130844607949257,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,last_prompt_token,middle,1.0,2,2,0.27266897222755143,0.2437182650691119,0.301619679385991,0.002108428510837257,0.0015881434082984924,0.0026287136133760214,0.005507388385012746,0.00492816511541605,0.006086611654609442,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,38.22714042663574,37.04496383666992,39.40931701660156,0.008555229287594557,0.00634285993874073,0.010767598636448383,0.026819653809070587,0.022330861538648605,0.03130844607949257,1.0,1.0,1.0
later_host_young_donor,adjacent,suffix,last_prompt_token,early,0.0,2,2,0.009997173879426387,0.006911480512870366,0.01308286724598241,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.007625817786902189,0.006821657530963421,0.008429978042840958,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,4.808383941650391,4.033620834350586,5.583147048950195,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.9522278308868408,0.7953259944915771,1.1091296672821045,1.0,1.0,1.0
later_host_young_donor,adjacent,suffix,last_prompt_token,early,1.0,2,2,0.6759974152758206,0.6706229677499793,0.681371862801662,0.011278102174401283,0.011140687391161919,0.011415516957640648,0.005408215569332242,0.005209690425544977,0.005606740713119507,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,126.92293548583984,119.48184204101562,134.36402893066406,0.0436923298984766,0.04355951398611069,0.043825145810842514,12.338531494140625,10.87534236907959,13.80172061920166,1.0,1.0,1.0
later_host_young_donor,adjacent,suffix,last_prompt_token,late,0.0,2,2,0.009997173879426387,0.006911480512870366,0.01308286724598241,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.007625817786902189,0.006821657530963421,0.008429978042840958,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,1.5642588138580322,1.2657086849212646,1.8628089427947998,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.9522278308868408,0.7953259944915771,1.1091296672821045,1.0,1.0,1.0
later_host_young_donor,adjacent,suffix,last_prompt_token,late,1.0,2,2,0.6759974152758206,0.6706229677499793,0.681371862801662,0.011278102174401283,0.011140687391161919,0.011415516957640648,0.005408215569332242,0.005209690425544977,0.005606740713119507,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,16.863666534423828,15.727916717529297,17.99941635131836,0.0436923298984766,0.04355951398611069,0.043825145810842514,12.338531494140625,10.87534236907959,13.80172061920166,1.0,1.0,1.0
later_host_young_donor,adjacent,suffix,last_prompt_token,middle,0.0,2,2,0.009997173879426387,0.006911480512870366,0.01308286724598241,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.007625817786902189,0.006821657530963421,0.008429978042840958,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,4.53603208065033,3.8057610988616943,5.266303062438965,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.9522278308868408,0.7953259944915771,1.1091296672821045,1.0,1.0,1.0
later_host_young_donor,adjacent,suffix,last_prompt_token,middle,1.0,2,2,0.6759974152758206,0.6706229677499793,0.681371862801662,0.011278102174401283,0.011140687391161919,0.011415516957640648,0.005408215569332242,0.005209690425544977,0.005606740713119507,0.0,0.0,0.0,6.601309684963636e-16,-2.692793228288912e-16,1.5895412598216184e-15,0.0,0.0,0.0,1.0,1.0,1.0,101.55829620361328,93.36534118652344,109.75125122070312,0.0436923298984766,0.04355951398611069,0.043825145810842514,12.338531494140625,10.87534236907959,13.80172061920166,1.0,1.0,1.0
later_host_young_donor,name_only,none,last_prompt_token,,0.0,2,2,0.4909951187881575,0.45838382177153925,0.5236064158047757,0.10504419729113579,0.09308620542287827,0.11700218915939331,0.10822043567895889,0.10645227134227753,0.10998860001564026,0.5015024102814142,0.49999999999975253,0.5030048205630758,0.46896267382301915,0.40440546833261387,0.5335198793134244,,,,,,,,,,,,,,,,1.0,1.0,1.0
later_host_young_donor,primary,prefix,last_prompt_token,early,0.0,2,2,0.0024447978095292876,0.001865164953861203,0.003024430665197372,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.031121980398893356,0.02540650963783264,0.03683745115995407,0.0,0.0,0.0,-1.6515728190600574e-16,-7.216449660040072e-16,3.913304021919957e-16,0.0,0.0,0.0,1.0,1.0,1.0,4.864905834197998,4.087335586547852,5.6424760818481445,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.019847603514790535,0.019280651584267616,0.020414555445313454,1.0,1.0,1.0
later_host_young_donor,primary,prefix,last_prompt_token,early,1.0,2,2,0.4370824119363256,0.3358356172382465,0.5383292066344046,0.018813168164342642,0.009221998043358326,0.028404338285326958,0.02129870094358921,0.01823785901069641,0.02435954287648201,0.24999999999988076,0.0,0.4999999999997615,0.2019049397871895,3.913304021919957e-16,0.40380987957437864,0.0,0.0,0.0,1.0,1.0,1.0,239.69405364990234,228.7415313720703,250.64657592773438,0.08165029995143414,0.0376349501311779,0.12566564977169037,16.43935775756836,16.40854263305664,16.470172882080078,1.0,1.0,1.0
later_host_young_donor,primary,prefix,last_prompt_token,late,0.0,2,2,0.0024447978095292876,0.001865164953861203,0.003024430665197372,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.031121980398893356,0.02540650963783264,0.03683745115995407,0.0,0.0,0.0,-1.6515728190600574e-16,-7.216449660040072e-16,3.913304021919957e-16,0.0,0.0,0.0,1.0,1.0,1.0,4.864905834197998,4.087335586547852,5.6424760818481445,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.6365379989147186,0.5758330225944519,0.6972429752349854,1.0,1.0,1.0
later_host_young_donor,primary,prefix,last_prompt_token,late,1.0,2,2,0.4982010729968742,0.4754452564511806,0.5209568895425679,0.05562692694365978,0.05324559286236763,0.058008261024951935,0.05648086220026016,0.04896169900894165,0.06400002539157867,0.662139731203662,0.4999999999997615,0.8242794624075624,0.3673457762083422,0.3308816728423058,0.40380987957437864,0.25022897992688575,0.2121578896363475,0.288300070217424,0.7497710200731142,0.711699929782576,0.7878421103636525,630.6113586425781,614.8841552734375,646.3385620117188,0.31582945585250854,0.30339717864990234,0.32826173305511475,58.003156661987305,55.0433464050293,60.96296691894531,1.0,1.0,1.0
later_host_young_donor,primary,prefix,last_prompt_token,middle,0.0,2,2,0.0024447978095292876,0.001865164953861203,0.003024430665197372,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.031121980398893356,0.02540650963783264,0.03683745115995407,0.0,0.0,0.0,-1.6515728190600574e-16,-7.216449660040072e-16,3.913304021919957e-16,0.0,0.0,0.0,1.0,1.0,1.0,4.864905834197998,4.087335586547852,5.6424760818481445,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.026819653809070587,0.022330861538648605,0.03130844607949257,1.0,1.0,1.0
later_host_young_donor,primary,prefix,last_prompt_token,middle,1.0,2,2,0.563418407249173,0.5121360918534503,0.6147007226448956,0.0289612440392375,0.025172026827931404,0.032750461250543594,0.02348815556615591,0.01577802561223507,0.03119828552007675,0.6281943780787922,0.4999999999997615,0.7563887561578229,0.3745451959428038,0.34528051231122897,0.40380987957437864,0.0,0.0,0.0,1.0,1.0,1.0,373.34954833984375,372.4895324707031,374.2095642089844,0.13214518129825592,0.10702833533287048,0.15726202726364136,18.049805641174316,17.980091094970703,18.11952018737793,1.0,1.0,1.0
later_host_young_donor,primary,single_layer,last_prompt_token,early,0.0,2,2,0.0024447978095292876,0.001865164953861203,0.003024430665197372,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.031121980398893356,0.02540650963783264,0.03683745115995407,0.0,0.0,0.0,-1.6515728190600574e-16,-7.216449660040072e-16,3.913304021919957e-16,0.0,0.0,0.0,1.0,1.0,1.0,4.829723358154297,4.053579330444336,5.605867385864258,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.019847603514790535,0.019280651584267616,0.020414555445313454,1.0,1.0,1.0
later_host_young_donor,primary,single_layer,last_prompt_token,early,1.0,2,2,0.4370824119363256,0.3358356172382465,0.5383292066344046,0.018813168164342642,0.009221998043358326,0.028404338285326958,0.02129870094358921,0.01823785901069641,0.02435954287648201,0.24999999999991818,0.0,0.49999999999983635,0.19263577362229692,3.913304021919957e-16,0.38527154724459345,0.0,0.0,0.0,1.0,1.0,1.0,214.76263427734375,203.76419067382812,225.76107788085938,0.08165029995143414,0.0376349501311779,0.12566564977169037,0.019847603514790535,0.019280651584267616,0.020414555445313454,1.0,1.0,1.0
later_host_young_donor,primary,single_layer,last_prompt_token,late,0.0,2,2,0.0024447978095292876,0.001865164953861203,0.003024430665197372,7.961308983794879e-05,4.747588172904216e-05,0.00011175029794685543,0.031121980398893356,0.02540650963783264,0.03683745115995407,0.0,0.0,0.0,-1.6515728190600574e-16,-7.216449660040072e-16,3.913304021919957e-16,0.0,0.0,0.0,1.0,1.0,1.0,2.4785460233688354,2.0406596660614014,2.9164323806762695,0.00031965269590727985,0.00018895621178671718,0.0004503491800278425,0.6365379989147186,0.5758330225944519,0.6972429752349854,1.0,1.0,1.0
later_host_young_donor,primary,single_layer,last_prompt_token,late,1.0,2,2,0.4982010729968742,0.4754452564511806,0.5209568895425679,0.05562692694365978,0.05324559286236763,0.058008261024951935,0.05648086220026016,0.04896169900894165,0.06400002539157867,0.0,0.0,0.0,-1.6515728190600574e-16,-7.216449660040072e-16,3.913304021919957e-16,0.25022897992688575,0.2121578896363475,0.288300070217424,0.7497710200731142,0.711699929782576,0.7878421103636525,126.46155166625977,121.63158416748047,131.29151916503906,0.31582945585250854,0.30339717864990234,0.32826173305511475,0.6365379989147186,0.5758330225944519,0.6972429752349854,1.0,1.0,1.0
