pair_name,control_kind,graft_mode,prompt_family,n,prompt_count,donor_identity_fraction_mean,donor_identity_fraction_ci95_low,donor_identity_fraction_ci95_high,js_to_host_mean,js_to_host_ci95_low,js_to_host_ci95_high,js_to_donor_mean,js_to_donor_ci95_low,js_to_donor_ci95_high,text_donor_identity_fraction_mean,text_donor_identity_fraction_ci95_low,text_donor_identity_fraction_ci95_high,semantic_donor_identity_fraction_mean,semantic_donor_identity_fraction_ci95_low,semantic_donor_identity_fraction_ci95_high,recovery_fraction_mean,recovery_fraction_ci95_low,recovery_fraction_ci95_high,persistence_mean,persistence_ci95_low,persistence_ci95_high,cad_mean,cad_ci95_low,cad_ci95_high,next_token_kl_mean,next_token_kl_ci95_low,next_token_kl_ci95_high,activation_norm_deviation_mean,activation_norm_deviation_ci95_low,activation_norm_deviation_ci95_high,verbal_donor_claim_mean,verbal_donor_claim_ci95_low,verbal_donor_claim_ci95_high
later_host_young_donor,adjacent,prefix,explanation,12,2,0.15669884577854398,0.04090921314144684,0.279611241946034,0.0033513912097381158,0.00033670259915652423,0.007447312723108249,0.007977958341750005,0.006841127213556319,0.009219721882254816,0.0,0.0,0.0,0.022805252416056132,1.9542582283373622e-16,0.06841575724816738,0.0,0.0,0.0,1.0,1.0,1.0,40.197729190190636,14.775064474344253,67.72570565144221,0.013600324018625543,0.0013445012106482561,0.030442825045489976,4.004774919711053,0.7819590951665305,8.073981730973658,1.0,1.0,1.0
later_host_young_donor,adjacent,single_layer,explanation,12,2,0.15669884577854398,0.04090921314144684,0.279611241946034,0.0033513912097381158,0.00033670259915652423,0.007447312723108249,0.007977958341750005,0.006841127213556319,0.009219721882254816,0.0,0.0,0.0,6.601309684963635e-16,1.9542582283373622e-16,1.124836114158991e-15,0.0,0.0,0.0,1.0,1.0,1.0,18.433989365895588,9.524519007404646,27.263032702604928,0.013600324018625543,0.0013445012106482561,0.030442825045489976,0.22773508541285992,0.06912056073779241,0.39597552055881047,1.0,1.0,1.0
later_host_young_donor,adjacent,suffix,explanation,12,2,0.34299729457762346,0.1747412645006155,0.5109686053008805,0.005678857632119616,0.0028367134581079273,0.008492609235872806,0.006517016678117216,0.005845921970709848,0.007255921131581999,0.0,0.0,0.0,6.601309684963635e-16,1.9542582283373622e-16,1.124836114158991e-15,0.0,0.0,0.0,1.0,1.0,1.0,42.70892884333929,15.977446160217127,72.50095395098128,0.02200599129719194,0.011096743735834025,0.03289291154251259,6.645379662513733,3.393127248684565,9.626963158448538,1.0,1.0,1.0
later_host_young_donor,name_only,none,explanation,2,2,0.4909951187881575,0.45838382177153925,0.5236064158047757,0.10504419729113579,0.09308620542287827,0.11700218915939331,0.10822043567895889,0.10645227134227753,0.10998860001564026,0.5015024102814142,0.49999999999975253,0.5030048205630758,0.46896267382301915,0.40440546833261387,0.5335198793134244,,,,,,,,,,,,,,,,1.0,1.0,1.0
later_host_young_donor,primary,prefix,explanation,12,2,0.25100604760182677,0.10882385138760184,0.3930715576624836,0.017273363069458963,0.005279461663083869,0.029254607136006895,0.03243894331778089,0.025621784684093048,0.04011777132982388,0.2567223515470558,0.08333333333329358,0.4426893058267751,0.1572993186563892,0.05754675205187183,0.2631592334041399,0.041704829987814294,0.0,0.10108948411199087,0.9582951700121857,0.8989105158880091,1.0,209.70827968915304,74.70004033446313,346.52495861053467,0.08843064919832007,0.024243833154226496,0.15534025627882025,15.52925421949476,4.481766183569562,27.730793307201626,1.0,1.0,1.0
later_host_young_donor,primary,single_layer,explanation,12,2,0.25100604760182677,0.10882385138760184,0.3930715576624836,0.017273363069458963,0.005279461663083869,0.029254607136006895,0.03243894331778089,0.025621784684093048,0.04011777132982388,0.04166666666665303,0.0,0.12499999999995909,0.03210596227038268,-3.5065317660533954e-16,0.09631788681114839,0.041704829987814294,0.0,0.10108948411199087,0.9582951700121857,0.8989105158880091,1.0,88.9548823038737,39.883828745285676,139.94375080565612,0.08843064919832007,0.024243833154226496,0.15534025627882025,0.22773508541285992,0.06912056073779241,0.39597552055881047,1.0,1.0,1.0
later_host_young_donor,primary,suffix,explanation,12,2,0.21925247160921613,0.11048481883469724,0.3280152941099378,0.061106348365683516,0.028115475906687,0.09244550630895294,0.09456942044198513,0.05799991955670218,0.12790046259760857,0.11167975500274313,0.0,0.2747598208025208,0.06383538792472743,-4.4340112395500647e-16,0.15524424858631378,0.12050422916858107,0.05239953193468618,0.18337387130273974,0.8794957708314189,0.8166261286972603,0.9476004680653137,183.34327167272568,59.80271493246158,325.6620492676894,0.5420591200090712,0.2377645280725119,0.8240702915694177,37.20696222782135,18.31969265739123,55.58741229772568,1.0,1.0,1.0
later_host_young_donor,random_same_norm,prefix,explanation,12,2,0.21711231529292696,0.08847634462001268,0.337515913110606,0.05599425511324322,0.011016956677008239,0.11347422390723143,0.0821424974128604,0.03785966434516013,0.140426858390371,0.14400004400672511,0.03176245646819723,0.2699909345956932,0.14764625850311477,0.04602927746146411,0.2618093893418142,0.0,0.0,0.0,1.0,1.0,1.0,222.63063025474548,81.28145440419516,368.6776533126831,0.2874443632560239,0.050959926466627316,0.5925134339509289,15.000495534700653,4.363993512571323,26.575069636343198,1.0,1.0,1.0
later_host_young_donor,random_same_norm,single_layer,explanation,12,2,0.24454278746174096,0.09499146661236721,0.38277274168137165,0.09642899621788577,0.013633218755057899,0.20022010305166682,0.11125825950875878,0.03640303395222872,0.2085650636775729,0.14401650135996955,0.04166666666664679,0.2690165013599168,0.15945817582810504,0.033650823297864875,0.28366652022516925,0.0,0.0,0.0,1.0,1.0,1.0,101.9004332224528,45.53477436502775,156.71539725313585,0.4848297892458504,0.05611935462329712,1.0464090560057226,0.22773508541285992,0.06912056073779241,0.39597552055881047,1.0,1.0,1.0
later_host_young_donor,random_same_norm,suffix,explanation,12,2,0.24637418481299098,0.12280170801996738,0.3688740010328532,0.21855519521250244,0.09422803519542716,0.33282273129073775,0.24204946868121624,0.1221063913932691,0.3523317190508048,0.2023850639660996,0.07959120635770209,0.32671490615854654,0.2042372833531443,0.08122932905230582,0.32923728335308183,0.0,0.0,0.0,1.0,1.0,1.0,208.50408786535263,72.74841331491868,360.82176864892233,1.2341938877798384,0.44997556246416937,1.9069130091374973,40.3448406457901,19.525705383221307,60.41520541906357,1.0,1.0,1.0
