model_id,model_family,model_size_label,identity_frame,concept_axis,injection_site,layer_index,layer_bucket,vector_kind,alpha,axis_shift_mean,peak_displacement_mean,total_downstream_change_mean,end_of_pass_distance_mean,recovery_fraction_mean,next_token_kl_mean,next_token_js_mean,n
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,2,early,label_shuffled,-1.0,0.002871067180706517,5.546780824661255,625.6073060035706,0.17821089550852776,0.4120443384097949,2.6802277266979218,0.43645550310611725,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,2,early,label_shuffled,1.0,0.0025341603592559203,0.4552963748574257,44.20436578989029,0.025713223963975906,0.1719437431619124,0.047518324106931686,0.012435546261258423,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,2,early,mean_diff,-1.0,0.002871067180706517,5.532010555267334,623.7921304702759,0.17887264862656593,0.40616444301134513,2.634755164384842,0.43383193016052246,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,2,early,mean_diff,1.0,0.0025341603592559203,0.4646482840180397,45.76846319437027,0.02660922915674746,0.16109941318561466,0.0566807109862566,0.01463191444054246,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,2,early,random_orthogonal,-1.0,0.010966947627843185,0.709340512752533,92.59924578666687,0.06396571639925241,0.0,0.20700543373823166,0.05483833095058799,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,2,early,random_orthogonal,1.0,0.0025023104130572206,0.6861126869916916,86.87072253227234,0.06020679138600826,0.0,0.14044984243810177,0.035410637967288494,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,9,late,label_shuffled,-1.0,-0.0012321394449609545,0.44764862209558487,42.37485361099243,0.0684157395735383,0.0076516305219251814,0.1466006450355053,0.03087105369195342,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,9,late,label_shuffled,1.0,0.0025341603592559203,0.48432616144418716,40.17032194137573,0.05820873472839594,0.11991066249040366,0.1748675862327218,0.04907113080844283,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,9,late,mean_diff,-1.0,-0.0012213786527981736,0.4446307197213173,42.928035497665405,0.07044894248247147,0.007142516980621906,0.12099207378923893,0.02661903528496623,4
EleutherAI/pythia-160m,pythia,160m,baseline_helpful,cautious_vs_assertive,first_generated,9,late,mean_diff,1.0,0.0032078722048488597,0.4961355850100517,41.09395241737366,0.05915410164743662,0.12863660717162176,0.170689613558352,0.047905285842716694,4
