model_size_label,identity_frame,pair_accuracy_mean,tie_accuracy_mean,non_tie_accuracy_mean,cycle_free_ratio_mean,strict_structure_pass_rate,n_pairs
1b,baseline_helpful,0.3333333333333333,1.0,0.0,1.0,0.0,12
1b,family_self,0.3333333333333333,1.0,0.0,1.0,0.0,12
70m,baseline_helpful,0.4166666666666667,0.75,0.25,0.875,0.0,12
70m,family_self,0.3333333333333333,0.25,0.375,1.0,0.0,12
