model_size_label,identity_frame,axis_name,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,hits,trials,seed_count,p_value_vs_chance,row_p_value_vs_chance,cluster_accuracy_mean,cluster_accuracy_ci95_low,cluster_accuracy_ci95_high,cluster_count,cluster_hits_above_chance,cluster_non_tie_count,cluster_tie_count,cluster_sign_p_value_vs_chance,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,p_value_vs_chance_holm,cluster_sign_p_value_vs_chance_holm
1b,family_self,collaborative_vs_authoritative,0.4166666666666667,0.34444444444444444,0.4888888888888889,75,180,5,0.011870811630613607,0.011870811630613607,0.4166666666666667,0.3333333333333333,0.5277777777777778,6,2,2,4,0.25,0.005981398170355718,0.010429869708806567,0.04748324652245443,1.0
1b,family_self,expansive_vs_terse,0.3333333333333333,0.26666666666666666,0.40555555555555556,60,180,5,0.5280066612174799,0.5280066612174799,0.3333333333333333,0.2222222222222222,0.4444444444444444,6,2,4,2,0.6874999999999998,0.02976732862465968,0.030985747425927284,1.0,1.0
1b,family_self,cautious_vs_assertive,0.3055555555555556,0.2388888888888889,0.37236111111111037,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.24999999999999997,0.3333333333333333,6,0,1,5,1.0,0.0059311549957111334,0.01178884628447725,1.0,1.0
1b,family_self,selfref_vs_impersonal,0.3055555555555556,0.2388888888888889,0.37222222222222223,55,180,5,0.8071449847499924,0.8071449847499924,0.3055555555555555,0.25,0.3333333333333333,6,0,1,5,1.0,0.0025586790010251334,0.006296416930974567,1.0,1.0
