model_size_label,identity_frame,n,seed_count,self_profile_accuracy_mean_mean,self_profile_accuracy_mean_ci95_low,self_profile_accuracy_mean_ci95_high,matched_decoy_accuracy_mean_mean,matched_decoy_accuracy_mean_ci95_low,matched_decoy_accuracy_mean_ci95_high,scrambled_profile_accuracy_mean_mean,scrambled_profile_accuracy_mean_ci95_low,scrambled_profile_accuracy_mean_ci95_high,self_profile_valid_choice_rate_mean,self_profile_valid_choice_rate_ci95_low,self_profile_valid_choice_rate_ci95_high,matched_decoy_valid_choice_rate_mean,matched_decoy_valid_choice_rate_ci95_low,matched_decoy_valid_choice_rate_ci95_high,scrambled_profile_valid_choice_rate_mean,scrambled_profile_valid_choice_rate_ci95_low,scrambled_profile_valid_choice_rate_ci95_high,self_minus_decoy_accuracy_mean,self_minus_decoy_accuracy_ci95_low,self_minus_decoy_accuracy_ci95_high,self_minus_scrambled_accuracy_mean,self_minus_scrambled_accuracy_ci95_low,self_minus_scrambled_accuracy_ci95_high,triadic_valid_choice_mean,triadic_valid_choice_ci95_low,triadic_valid_choice_ci95_high,triadic_choose_self_mean,triadic_choose_self_ci95_low,triadic_choose_self_ci95_high,triadic_nearest_accuracy_mean,triadic_nearest_accuracy_ci95_low,triadic_nearest_accuracy_ci95_high,self_margin_vs_decoy_mean,self_margin_vs_decoy_ci95_low,self_margin_vs_decoy_ci95_high,self_margin_vs_scrambled_mean,self_margin_vs_scrambled_ci95_low,self_margin_vs_scrambled_ci95_high,profile_decoy_distance_mean,profile_decoy_distance_ci95_low,profile_decoy_distance_ci95_high
70m,baseline_helpful,4,2,0.3125,0.0625,0.5,0.3125,0.0625,0.5,0.3125,0.0625,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.25,0.0,0.75,0.5,0.0,1.0,-0.09474437584846024,-0.5639392779820864,0.23628901703075916,0.8413632380430681,0.539290232749975,1.0299250201488412,1.7688221791405634,1.7688221791405634,1.7688221791405634
70m,family_self,4,2,0.375,0.25,0.5,0.75,0.5625,0.9375,0.375,0.125,0.6265624999999915,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.375,-0.625,-0.125,0.0,-0.1875,0.1875,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08865289723937642,-0.0031658903865786625,0.20373182912845259,1.1437227836064634,0.7771948978751511,1.4711634921612036,0.9281487371128759,0.9281487371128759,0.9281487371128759
70m,stable_style_policy,4,2,0.375,0.25,0.5,0.5,0.3125,0.6875,0.5,0.3125,0.6875,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-0.125,-0.375,0.125,-0.125,-0.375,0.0,1.0,1.0,1.0,0.25,0.0,0.75,0.25,0.0,0.75,0.2775944819426597,-0.654270050294562,1.326932349387714,1.1805358809603252,0.7462924985091282,1.6559725207666518,2.3046163055779973,2.3046163055779973,2.3046163055779973
