model_size_label,identity_frame,selected_label,n
1b,baseline_helpful,1,34
1b,baseline_helpful,2,4
1b,baseline_helpful,3,10
1b,family_self,1,32
1b,family_self,3,16
70m,baseline_helpful,1,40
70m,baseline_helpful,2,4
70m,baseline_helpful,3,4
70m,family_self,1,40
70m,family_self,2,6
70m,family_self,3,2
