model_size_label,identity_frame,prompt_source,strength_magnitude,self_recognition_accuracy_mean,seed_count,n
1b,baseline_helpful,self_prediction_bank,1.0,0.25,2,48
1b,family_self,self_prediction_bank,1.0,0.25,2,48
70m,baseline_helpful,self_prediction_bank,1.0,0.3333333333333333,2,48
70m,family_self,self_prediction_bank,1.0,0.2916666666666667,2,48
