model_size_label,identity_frame,strength_magnitude,self_recognition_accuracy_mean,seed_count,n
1b,baseline_helpful,1.0,0.25,2,48
1b,family_self,1.0,0.25,2,48
70m,baseline_helpful,1.0,0.3333333333333333,2,48
70m,family_self,1.0,0.2916666666666667,2,48
