model_size_label,identity_frame,accuracy_mean,accuracy_ci95_low,accuracy_ci95_high,hits,trials,seed_count,p_value_vs_chance,row_p_value_vs_chance,cluster_accuracy_mean,cluster_accuracy_ci95_low,cluster_accuracy_ci95_high,cluster_count,cluster_hits_above_chance,cluster_non_tie_count,cluster_tie_count,cluster_sign_p_value_vs_chance,p_value_vs_chance_holm,cluster_sign_p_value_vs_chance_holm
70m,baseline_helpful,0.3333333333333333,0.20833333333333334,0.4583333333333333,16,48,2,0.5540843255201346,0.5540843255201346,0.3333333333333333,0.3333333333333333,0.3333333333333333,4,0,0,4,,1.0,
70m,family_self,0.2916666666666667,0.16666666666666666,0.4166666666666667,14,48,2,0.7756967868979364,0.7756967868979364,0.29166666666666663,0.20833333333333331,0.3333333333333333,4,0,1,3,1.0,1.0,1.0
1b,baseline_helpful,0.25,0.125,0.375,12,48,2,0.9188215015377679,0.9188215015377679,0.25,0.16666666666666666,0.3333333333333333,4,0,2,2,0.9999999999999999,1.0,1.0
1b,family_self,0.25,0.125,0.375,12,48,2,0.9188215015377679,0.9188215015377679,0.25,0.08333333333333333,0.3333333333333333,4,0,1,3,1.0,1.0,1.0
