model_size_label,identity_frame,axis_name,strength_magnitude,self_recognition_accuracy_mean,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,baseline_vs_contrary_style_distance_mean,baseline_vs_alt_style_distance_mean,seed_count,n
1b,baseline_helpful,expansive_vs_terse,1.0,0.25,0.03451157895500057,0.0051247859836922646,0.6709258361320626,1.4083271990534678,2,24
1b,baseline_helpful,selfref_vs_impersonal,1.0,0.25,0.0020550131470323217,0.0006991164536703631,1.1420765417281173,1.6243384829364278,2,24
1b,family_self,expansive_vs_terse,1.0,0.16666666666666666,0.012914006045576796,0.024011377588516233,0.9902655746368699,1.5944844087087784,2,24
1b,family_self,selfref_vs_impersonal,1.0,0.3333333333333333,0.0,0.00520067116404737,0.0,1.535668078096626,2,24
70m,baseline_helpful,expansive_vs_terse,1.0,0.3333333333333333,0.007818308744649737,0.005870595754992883,1.509922739260731,0.1347692647537365,2,24
70m,baseline_helpful,selfref_vs_impersonal,1.0,0.3333333333333333,0.013313431617072125,0.012525732427842086,1.4860978710892656,0.17745412202403701,2,24
70m,family_self,expansive_vs_terse,1.0,0.3333333333333333,0.008894235503175129,0.01377791126546698,1.5963316311225828,0.2846388564445538,2,24
70m,family_self,selfref_vs_impersonal,1.0,0.25,0.008283771636545399,0.0057235999094031,1.8071282780819153,0.3291782818811982,2,24
