model_size_label,self_sign_accuracy_mean,other_sign_accuracy_mean,boundary_retention_no_steer_mean,boundary_retention_steer_mean,boundary_collapse_rate,boundary_prediction_valid_rate,self_moved_toward_other_actual_mean,self_prediction_advantage_no_steer_mean,self_prediction_advantage_steer_mean,seed_count,n
1b,0.25,0.375,0.0,0.0,0.0,1.0,0.375,0.2322398081660105,0.222917763877749,1,8
70m,0.75,0.75,0.25,0.25,0.0,1.0,0.25,0.05731802833438784,0.0574792292606469,1,8
