model_size_label,identity_frame,axis_name,self_sign_accuracy_mean,other_sign_accuracy_mean,predicted_boundary_margin_mean,predicted_boundary_confidence_mean,actual_boundary_margin_no_steer_mean,actual_boundary_margin_steer_mean,boundary_margin_delta_mean,boundary_order_match_no_steer_mean,boundary_order_match_steer_mean,boundary_retention_no_steer_mean,boundary_retention_steer_mean,boundary_collapse_rate,boundary_prediction_valid_rate,self_prediction_advantage_no_steer_mean,self_prediction_advantage_steer_mean,other_prediction_advantage_mean,self_moved_toward_other_actual_mean,self_moved_toward_other_prediction_mean,self_vs_other_style_distance_mean,steered_self_vs_other_style_distance_mean,self_vs_other_semantic_overlap_mean,steered_self_vs_other_semantic_overlap_mean,seed_count,n
1b,family_self,collaborative_vs_authoritative,0.5,0.5,0.5,0.35376445204019547,0.02125996497074572,0.03136009419329139,0.01010012922254567,0.0,0.0,0.0,0.0,0.0,1.0,0.24983820393253967,0.23767709306337828,-0.28199971791356404,0.0,1.0,1.4777523830937822,1.5684228919563137,0.09022622922883547,0.3582653502193175,1,2
1b,family_self,expansive_vs_terse,0.0,1.0,0.5,0.379271999001503,0.022962835467713532,0.035526368609655856,0.012563533141942324,0.0,0.0,0.0,0.0,0.0,1.0,0.42912102873150226,0.40399396244761765,-0.47504669966692936,0.0,1.0,1.6046073834758405,1.6983932959242258,0.19366792111688894,0.11934635181399901,1,2
1b,tool_only,collaborative_vs_authoritative,0.5,0.0,0.75,0.3125629872083664,0.02125996497074572,0.015388418638877275,-0.005871546331868446,0.0,0.0,0.0,0.0,0.0,1.0,0.25000000000000006,0.25000000000000006,-0.25,1.0,0.0,1.4777523830937822,1.2890207393448396,0.09022622922883547,0.24863294853600948,1,2
1b,tool_only,expansive_vs_terse,0.0,0.0,1.0,0.2762335240840912,0.022962835467713532,0.01968434294096266,-0.003278492526750873,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.6046073834758405,1.5063554042807628,0.19366792111688894,0.46789002496276055,1,2
70m,family_self,collaborative_vs_authoritative,0.5,0.0,0.5,0.276567667722702,0.006504369497335896,0.033269836120567775,0.026765466623231877,0.0,0.0,0.0,0.0,0.0,1.0,-0.25000000000000006,-0.25,0.25000000000000006,0.0,1.0,0.0680971280124919,1.690047672915928,0.6164082684166043,0.2980713340652665,1,2
70m,family_self,expansive_vs_terse,1.0,1.0,0.75,0.4344468116760254,0.013686706521939877,0.014914390840268682,0.0012276843183288057,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.5,0.5,0.26449056933452486,1.6705582644596921,0.5222510820236841,0.2511368583189393,1,2
70m,tool_only,collaborative_vs_authoritative,0.5,1.0,0.75,0.2741496339440346,0.006504369497335896,0.015539900809140745,0.009035531311804849,0.0,0.0,0.0,0.0,0.0,1.0,0.24999999999999997,0.25,-0.24516022725626155,0.5,1.0,0.0680971280124919,1.6349270953558719,0.6164082684166043,0.0,1,2
70m,tool_only,expansive_vs_terse,1.0,1.0,0.0,0.40460968017578125,0.013686706521939877,0.021751735193083484,0.008065028671143608,1.0,1.0,1.0,1.0,0.0,1.0,0.22927211333755143,0.2299169170425876,-0.21238611036944044,0.0,0.5,0.26449056933452486,1.6771169941260777,0.5222510820236841,0.2736176160170964,1,2
