evaluator_revision,step4000,step16000,step64000,step128000,step143000
step4000,,-1.804815137386322,-1.6970961491266887,-1.9119035204251607,-1.6460007031758626
step16000,,-1.5288625359535217,-1.4683898422453139,-1.695939838886261,-1.523751695950826
step64000,,-1.6445073127746581,-1.275457759698232,-1.6122451424598694,-1.4541464646657307
step128000,,-1.6705265045166016,-1.3235634962717693,-1.4749823411305745,-1.3621882796287537
step143000,,-1.6667620897293092,-1.312090688281589,-1.4840834339459736,-1.3355270226796467
