source_revision,generation_valid_rate,unique_token_ratio_mean,top_token_rate_mean,top_bigram_rate_mean,n
step128000,0.25,0.32070316055454845,0.180598434074988,0.11011022587174779,24
step143000,0.25,0.32256690314363146,0.15748554510901255,0.10520954875527944,24
step16000,0.4166666666666667,0.41780481932176744,0.14807588309929992,0.09719195518718976,24
step4000,0.0,0.2821064188275532,0.15735118108985582,0.1107749554252281,24
step64000,0.375,0.3864990377627619,0.12935519300924062,0.08443517914904536,24
