model_size_label,identity_frame,axis_name,self_recognition_accuracy_mean,baseline_vs_contrary_axis_gap_mean,baseline_vs_alt_axis_gap_mean,baseline_vs_contrary_style_distance_mean,baseline_vs_alt_style_distance_mean,seed_count,n
1b,baseline_helpful,cautious_vs_assertive,0.5,0.005586272696734647,0.011002858056847115,0.6379148026568787,1.6437390801989,2,4
1b,baseline_helpful,expansive_vs_terse,0.0,0.035636967550943116,0.004037409940923478,0.6729432773623563,1.4257263339403035,2,4
1b,family_self,cautious_vs_assertive,0.25,0.008733270744578874,0.012836844390448417,1.4317083453859252,1.7236289901447486,2,4
1b,family_self,expansive_vs_terse,0.75,0.01258861042250527,0.022983559763634476,0.939786180572976,1.6046073834758405,2,4
70m,baseline_helpful,cautious_vs_assertive,0.0,0.01423729057616556,0.012171685485187761,1.4232658412750898,1.684770287896821,2,4
70m,baseline_helpful,expansive_vs_terse,0.25,0.009678299533274735,0.0073430156437045025,1.5399069304257442,0.10361245704093316,2,4
70m,family_self,cautious_vs_assertive,0.0,0.008591738213761423,0.004747551497179976,0.9603053320911502,0.7283179335021086,2,4
70m,family_self,expansive_vs_terse,0.5,0.008479892075692087,0.013695666949276694,1.6546157805149997,0.26449056933452486,2,4
