evaluator_revision,source_revision,n,avg_logprob_mean,avg_logprob_ci95_low,avg_logprob_ci95_high,perplexity_mean,perplexity_ci95_low,perplexity_ci95_high,self_preferred_mean,self_preferred_ci95_low,self_preferred_ci95_high,distance_from_diagonal_mean,distance_from_diagonal_ci95_low,distance_from_diagonal_ci95_high,diagonal_margin_logprob_mean,diagonal_margin_logprob_ci95_low,diagonal_margin_logprob_ci95_high
step128000,step128000,10,-1.4409739077091217,-1.8980474251508712,-1.1181415916979314,6.1349557925146305,3.09987018817577,11.55686129842853,0.5,0.2,0.8,0.0,0.0,0.0,-0.04239759842554728,-0.2919895907243093,0.15190356042650005
step128000,step143000,10,-1.3590375542640687,-1.62812889367342,-1.172412436902523,4.330998614042285,3.25845836549347,6.116940449344965,0.2,0.0,0.5,15000.0,15000.0,15000.0,0.0902857631444931,-0.14929842948913574,0.32986995577812195
step128000,step16000,15,-1.7581973870595295,-2.0123420731226602,-1.543578931093216,6.56909568923999,4.919797719368931,8.982289901739165,0.13333333333333333,0.0,0.3333333333333333,112000.0,112000.0,112000.0,-0.14122311770915985,-0.7020311951637268,0.3373972624540329
step128000,step64000,11,-1.5313804908232256,-1.8586160944266754,-1.2625323035500267,5.391947709556055,3.566847625241239,7.758848368510264,0.18181818181818182,0.0,0.45454545454545453,64000.0,64000.0,64000.0,-0.025522828102111816,-0.14353861808776855,0.09737498760223388
step143000,step128000,10,-1.462838464975357,-1.9275380618870257,-1.1370601812005043,6.2778162797728365,3.1657063759374267,11.80933711408658,0.1,0.0,0.3,15000.0,15000.0,15000.0,-0.1243501752614975,-0.2871380150318146,0.058503419160842896
step143000,step143000,10,-1.331843638420105,-1.6060046759247781,-1.1431340897083284,4.229344229033917,3.1673712148811366,6.015338042791748,0.6,0.3,0.9,0.0,0.0,0.0,-0.03556826284953526,-0.18519088221447808,0.08673183917999266
step143000,step16000,15,-1.7687100330988565,-2.030988369186719,-1.552335609793663,6.682872855402528,4.947932389939742,9.280211152497351,0.13333333333333333,0.0,0.3333333333333333,127000.0,127000.0,127000.0,-0.014372706413269043,-0.26112622022628784,0.17574036121368408
step143000,step64000,11,-1.5201757170937278,-1.8474331552332097,-1.24724705463106,5.361564125232925,3.509224576638781,7.7311519510087185,0.09090909090909091,0.0,0.2727272727272727,79000.0,79000.0,79000.0,0.0039479732513427734,-0.07269155979156494,0.08622932434082031
step16000,step128000,10,-1.6507432103157043,-2.1735132470726968,-1.2738747361302376,8.47281930716015,3.666473499674733,17.13307837581447,0.2,0.0,0.4,112000.0,112000.0,112000.0,0.22428008913993835,-0.34635037183761597,1.1163237690925598
step16000,step143000,10,-1.5268345952033997,-1.8055343016982077,-1.3259411802887917,5.2057507499494005,3.8070680198124403,7.5119473563957655,0.2,0.0,0.5,127000.0,127000.0,127000.0,-0.11659318208694458,-0.34635037183761597,0.1131640076637268
step16000,step16000,15,-1.6399563074111938,-1.9039947907129924,-1.4200800639390947,5.8700337372611555,4.34155979523077,8.060032598444517,0.8666666666666667,0.6666666666666666,1.0,0.0,0.0,0.0,0.18724139531453451,-0.22731884320576987,0.7790955702463785
step16000,step64000,11,-1.6745233860882847,-2.040657602115111,-1.3671456355940212,6.536930406695688,3.953800452805646,9.892807518549462,0.18181818181818182,0.0,0.45454545454545453,48000.0,48000.0,48000.0,0.009947458902994791,-0.21353530883789062,0.1520841121673584
step64000,step128000,10,-1.5575521469116211,-2.0530787339806555,-1.190857824087143,7.422137976056793,3.373986866522985,14.626975854224506,0.3,0.0,0.6,64000.0,64000.0,64000.0,0.12791831493377687,-0.04106314182281494,0.29388113021850587
step64000,step143000,10,-1.4429996728897094,-1.717798164486885,-1.2413975882530213,4.762011670016742,3.5038085691414422,6.796799224463369,0.3,0.1,0.6,79000.0,79000.0,79000.0,0.15770846605300903,0.08663880825042725,0.24581670761108398
step64000,step16000,15,-1.7383298476537068,-2.0036885943015417,-1.525705530444781,6.506085954504029,4.791377405983312,9.026337626435849,0.13333333333333333,0.0,0.3333333333333333,48000.0,48000.0,48000.0,0.08315153916676839,-0.08300089836120605,0.24581670761108398
step64000,step64000,11,-1.491234838962555,-1.8112262651324271,-1.2219807933677327,5.17410831770442,3.4490198210640646,7.441730699058002,0.8181818181818182,0.5454545454545454,1.0,0.0,0.0,0.0,0.12384289503097534,0.006785380627427782,0.23822141247136253
