evaluator_revision,step16000,step64000,step128000,step143000
step16000,-1.6399563074111938,-1.6745233860882847,-1.6507432103157043,-1.5268345952033997
step64000,-1.7383298476537068,-1.491234838962555,-1.5575521469116211,-1.4429996728897094
step128000,-1.7581973870595295,-1.5313804908232256,-1.4409739077091217,-1.3590375542640687
step143000,-1.7687100330988565,-1.5201757170937278,-1.462838464975357,-1.331843638420105
