source_revision,n,avg_logprob_mean,avg_logprob_ci95_low,avg_logprob_ci95_high,perplexity_mean,perplexity_ci95_low,perplexity_ci95_high,self_preferred_mean,self_preferred_ci95_low,self_preferred_ci95_high,distance_from_diagonal_mean,distance_from_diagonal_ci95_low,distance_from_diagonal_ci95_high,diagonal_margin_logprob_mean,diagonal_margin_logprob_ci95_low,diagonal_margin_logprob_ci95_high
step128000,40,-1.528026932477951,-1.779080037549138,-1.3154814913868904,7.0769323388761025,4.273388417089797,10.59890512110294,0.275,0.125,0.425,47750.0,34500.0,61725.0,0.02989694747057828,-0.13567396734248507,0.214503912018104
step143000,40,-1.4151788651943207,-1.5484055061638355,-1.2907120824605225,4.632026315760585,3.7939205889351624,5.625885113187263,0.325,0.175,0.475,55250.0,40125.0,70703.125,0.006606549024581909,-0.10297281377845341,0.11011215713289048
step16000,60,-1.7262983938058218,-1.8447484132150809,-1.6025605361660322,6.407022059101926,5.4297800800794285,7.429292351897339,0.31666666666666665,0.2,0.43333333333333335,71750.0,58547.916666666664,84136.24999999999,0.04414821722928215,-0.17090585661285063,0.2746791919364649
step64000,44,-1.5543286082419483,-1.7222029824487188,-1.4038347912105649,5.616137639797272,4.547655024386233,6.935986315184842,0.3181818181818182,0.18181818181818182,0.45454545454545453,47750.0,39090.340909090904,56409.09090909091,0.04338735673162672,-0.029821465329991446,0.11398265833655992
