evaluator_revision,n,avg_logprob_mean,avg_logprob_ci95_low,avg_logprob_ci95_high,perplexity_mean,perplexity_ci95_low,perplexity_ci95_high,self_preferred_mean,self_preferred_ci95_low,self_preferred_ci95_high,distance_from_diagonal_mean,distance_from_diagonal_ci95_low,distance_from_diagonal_ci95_high,diagonal_margin_logprob_mean,diagonal_margin_logprob_ci95_low,diagonal_margin_logprob_ci95_high
step128000,46,-1.5482230614060941,-1.7092626574894656,-1.396703897189835,5.706682700201861,4.412637429707057,7.208025618853632,0.2391304347826087,0.13043478260869565,0.3695652173913043,55086.95652173913,42173.36956521739,68066.84782608696,-0.03240645202723416,-0.1785346473482522,0.09707388701764018
step143000,46,-1.5478131395319235,-1.7115602861927903,-1.3944192096590995,5.745476158623211,4.407118912990386,7.277449963562262,0.21739130434782608,0.10869565217391304,0.34782608695652173,63565.217391304344,48347.28260869565,78138.04347826085,-0.04400141371621026,-0.1337478039165338,0.041502578887674536
step16000,46,-1.6259756502897844,-1.7926218336043152,-1.4699750030170318,6.450922632688379,4.742190262188982,8.620860522000772,0.41304347826086957,0.2826086956521739,0.5652173913043478,63434.782608695656,47499.45652173913,78637.49999999999,0.09317872804753921,-0.15485664974240695,0.35980743239907653
step64000,46,-1.5757401987262394,-1.7381778667802397,-1.4214631522479264,6.007564723327053,4.507011589024403,7.867689676610805,0.3695652173913043,0.2391304347826087,0.5217391304347826,46739.13043478261,38129.891304347824,54630.434782608696,0.123837325308058,0.054635029865635766,0.19869394517607156
